PageNumber,Title,Singer,Composer,Date,YouTube,DetailURL,Poem
1,اميره قلوب الاتقياء,المجموعة,فايز السعيد,2025,https://www.youtube.com/watch?v=2O32UPkAVTw,https://www.wneen.com/lyrics/40979,"يا اميره قلوب الاتقيا مرني طاريك
مرور السهر في محجر عيون عشاقه

اقدم لك من العمر روحي ولا يكفيك
كما انه يقدم يانع الورد في باقه

شعور المحب الصادق اللي بلا تشكيك
تبينه عينه لو يخفيه خفاقه

وش افخم من اسمي يوم مرت حروفه فيك
تقولين يا حمدان والروح منساقه

تقولين يا حمدان واقول يا لبيك
غلا حن رعاده وله لاح براقه

خذاه الزمن من صغر سنه ما بين يديك
سياسه وشعر وطير ومسرج وناقه

كثر ما اشتهرت وصرت معشوق ذيك و ذيك
لك الشوق حصري والمعاليق مشتاقه

يا مولاتي اللي جنتي من تحت رجليك
حنان الامومه ينعش الروح ترياقه

يا ام الشيوخ بلاد زايد تفاخر فيك
على درب فعل الخير خطوتك سباقه

تقولين مجدك ورث جدك وورث ابيك
الامجاد للي يملك الوعي والطاقه

عسى الدار ما تفقدك والعين ما تبكيك
ورا كل عملاق صنع مجد عملاقه"
1,دمع العظيم,ميحد حمد,لد عينك وليد الشامي,2025,https://www.youtube.com/watch?v=2gcwIo3iB1c,https://www.wneen.com/lyrics/40175,"يالغيمه اللي دوى رعدك وبرقك سرى
ترى دموع الكرام اشبه بمزن الغمام
الغيم مزنه نتاجه عشب فوق الثرى
ودموع الاكرام تصنع حزن عند الكرام
المرء ماضيه يبقى معه مهما جرى
تاريخ الانسان وسط الذاكره له مقام
عين لها دهر ما ذاقت لذيذ الكرى
تحقق المستحيل وتبدع ف كل عام
ما طاح من دمعها فوق الخدود وجرى
الواجب الخد يستقبله بالابتسام
هذي دموع الكريم الطيب اللي ظرى
على مصادم كبار المعضلات الجسام
يوم انبرت له صواديف الزمان انبرى
لحلها رافع راياته الى الامام
لا يفرح الشامت اللي عنه ماحد درى
ما طاحت من القهر والعشق والا الهيام
طاحت على اللي حضنها كان ظل وذرى
كانت بدايه طموحاته ما كانت ختام
الصبح يبدا بطاريها لا منه طرى
وان نامت الكون كله في عيونه ينام
وصى عليها رسول الله بين الورى
ثلاث مرات لين اسمع جميع الانام
فرحمه الله لها من رب ام القرى
ولخاتم الانبيا مني عليه السلام
دمع العظيم ف رحاب الام يا من ترى
شعور لو جيت ابا اوصفه شاب الكلام"
1,جسر الصداقة,الوسمي,شكرفايز السعيد,2016,https://www.youtube.com/watch?v=4ipBiQSkVxA,https://www.wneen.com/lyrics/39738,"الضايق اللي ساري ليله ولا حصل طريق
تلعب به الايام بين يمينها وشمالها
يا غارق بالهم لا تطلب نجاتك من غريق
الصبر مفتاح الفرج والناس هذا حالها

وانا ترى متني يشيل من الحمل ما لا يطيق
مالي ومال الحمله اللي كل كتف شالها
والدله اللي ماتقهوي ضيفها قل للبريق
يرسل تعازي ضوها لا فاحت بفنجالها

ايامنا بين الشهر واليوم والباقي سحيق
الايام كم يبغى لها والناس كم يبغى لها
قمريه الاحزان لا غنت على الغصن الدقيق
ما تعاتب المحزون لو غنت ولا غنى لها

يا ناس وش حل الرفيق اللي يعاتب له رفيق
لا حدته الايام والدنيا على منوالها
لا تحسب ان اللي تحبه لا جرحته ما يضيق
لو يستر جروحه عليك وعلته ما قالها

يضيق لكن مبسمه ضحاك وحجاجه طليق
لان الصداقه كنز والحسنه بعشر امثالها
والحقد في قلوب الرجال اهل الوفا ماهو يليق
قلوبها تبقى نظيفه لو تغير حالها

وانا لو ابني للصداقه جسر لعيون الصديق
الناس من كثر الزعل فال الله ولا فالها
العذر مايكفي من التقدير والصده تعيق
الوصل من بين القلوب اللي تمد حبالها

والالماس سعره فوق سعرك يالذهب لو لك بريق
سعره لحاله والذهب تسعيرته بلحالها
واهل الجواهر يفرقون الكهرمان من العقيق
لو تخلط الثنتين بنت في طرف سلسالها

نصبر على قرص النحل حتى نوصل للرحيق
واهل الهوى يمسح خطاياها لذيذ وصالها
والناس لاجل امالها تحتاج للفهم الدقيق
واللي ما تملك فهم تخسر نفسها وامالها

جبال الارض الشامخه يا منكر المجد العريق
هاماتنا من كبر هيبتنا تطول جبالها
جديدنا مستقبل زاهر وماضينا عتيق
مسيره التاريخ يبقى مجدنا في بالها

لو ان حضارتنا قصيده شاعر فكره عميق
ما كان غير محمد المكتوم صاغ امثالها"
1,كن واقعي,محمد عبده,فرحة محمداحلام,2025,https://www.youtube.com/watch?v=_-kHBDwCoOc,https://www.wneen.com/lyrics/39455,"الله يا وقت مع طول الايام
ما عاد نعرف فاسدك من شريفك
لولا المكارم باقيه عند الاكرام
ما تهتني في شتاك ولا في صيفك

انظارنا قدام والوعد قدام
وادري قويك ما يشابه ضعيفك
ويا بحر لا منه تعب منك عوام
عساه يقلى راحته فوق سيفك

يا مكحل العنيين عذب التبسام
تذكر وليفك او تناسى وليفك
ايقونه الشاعر وشوفه والالهام
ولا تقول كيفي لا ما هو بكيفك

مصيافك في قلبي من العام للعام
هذا ولا يمكن تغير مصيفك
سليت سيفي في نحر كل لوام
لاجل اكسبك لكن سليت سيفك

على الذي عنده على وصلك هيام
كنك تمنى قلبه انه يعيفك
كن واقعي لا تعيش في عالم احلام
تساهم الاحلام في صنع زيفك"
1,فخر الاجيال,حسين الجسمي,الزمن رحالحسين الجسمي,2025,https://www.youtube.com/watch?v=pR10xYrVLsg,https://www.wneen.com/lyrics/38979,"على وصف الرجال اللي تسمى بالفعال رجال
لفت بيض العلوم وبيض الله وجه راعيها
لفت ما كنها الا سبق الخيل ان بدت تختال
نواصيها النعوت وفي مناكبها قوافيها

قصايد والقصايد ما نساومها بجاه ومال
نعب بحورها وان هاج مزملها نرسيها
اذا امتد الفكر وامتد ليلي والقصيد وطال
توشحت الشوارد ولبست الاشعار غاليها

كذب من قال ساعفني عليها الجن يوم تقال
انا البس جنها واصدر مواردها وارويها
انا ولا فخر نجل الشامخ المتمرس الريبال
على وصفه تجاريني القصايد قبل اجاريها

على محمد ابن راشد ابن مكتوم طاب الفال
وطابت لي قبل لا الزم قوافيها معانيها
متى قالوا صواريها المعاني ما هناك اشكال
حرام اني لمد شراعها لاكبر صواريها

على اكبر منبر ارميها ثنا وعز وفخر واجلال
ما دام ان الثنا لاهله على اكبر منبر ارميها
لاجل قرم غرس حلمه لشعبه واثمرت الامال
حقايق نبصر اولها ونتباشر بتاليها

حقايق واضحه من دون ابو راشد صعب تنطال
تباركها القلوب وتبهر الناظر مغانيها
مغانيها تراود كل عطر ما خطر ع البال
واراضيها يراود كل عاشق فوع ناديها

اراضيها الخزاما والنفل والبختري والهال
وما يخطر على بال العطر يزخر باراضيها
ولي فيها محب اسرف على قلبي وحط وشال
طلب روحي وروحي منه فيها اللي يكفيها

من اول ما عرفته والضلوع تجر له موال
ولا ادري نيته بضلوع صدري وش تواليها
انا محتار ما بينه وبين دبي بالمثقال
يا اما دبي له تحلا او انه لي محليها

او ان دبي تحلا لان ابو راشد لها خيال
نعم والله وتسبق خيلها من سبق واليها
دبي العز من طيب النسايم عودها ميال
تمسي صاحب القدر ونحن باسمه نمسيها

صدي داره بشرق وغرب وجنوب التقى وشمال
قبض الاربع جهات يلين داره ذاع طاريها
طغى عزمه على وعر الدروب وله غدت مسيال
تسيل الارض لاقدامه وتفخر من مواطيها

غريبه كيف جادت به سنينه والسنين بخال
والاغرب كيف تضما له وهو بالجود يسقيها
لو ان المجد سهل ان كان كل طال منه ونال
دروب المجد ودروب العلا صعبه مراقيها

طويل العمر ما جيت اعتزي في وصفك الامثال
ولكن المثايل تعتزيني بك والبيها
يابوي ابشر ترى شبلك توارت عن مداه اشبال
وثب فوق الدروب وسابقت رجله خطاويها

ورث عزمك وحزمك والخصال تجر طيب خصال
مواثيقه على طرق المكارم بك يجديها
اذا شد الفخر لاجلك رحاله قمت اشد رحال
على نهجك عشان افرد رحاله وارجع اطويها

واذا قالوا من ادرى بالحصابي والوزون ثقال
عرفت ان الوزون ثقال وانت ادري بحصابيها
على الدنيا جدال الا انت والله ما عليك جدال
مع ان ايدك يجادل كل وادي سيل واديها

لو ان السحب تنشا من كفوف امست عليك ظلال
وخرت ساجده لاهل الثرى من جود منشيها
مكارمك المكارم والعطايا من بحرك جزال
لو ان السفن تجري في يمينك ضاع شاطيها

يمينك كم لاحت و ابرقت وابطت وهي تنهال
ولا والله تدري عن يسارك كم معاطيها
وكم رجل بصدره حاجه وجاك وقبل لا يسال
عطيته كنك ادري بالصدور وسر خافيها

وكم حلم سبقته كان في عين الزمان محال
تقول المقبلات افضل عليك اسرار باريها
يقولون اختصرت اجيال واقول انته فخر الاجيال
اذا الاجيال بك ما تفتخر من يفتخر فيها"
1,شاعر ارتجالي ( يامرحبا ),راشد الماجد,N/A,0,https://www.youtube.com/watch?v=uDNHyKTaVLI,https://www.wneen.com/lyrics/37122,"يا مرحبا يا مغلط في تليفوني
مسموح مسموح والغلطات عفويه
صفرين تسعه وسته سته تموني
الرقم هذا فتح خط السعوديه

ثم قلت لبيك امر هذي عيوني
فتحت ذا القلب والنيه على النيه
خليت لك في الحنايا بصمه ولوني
تفرق على لون دمي في مجاريه
وخليت لك يا حبيبي بيت فرعوني
يخربط الناس في الروحات والجيه
وخليت لك في عيوني ركب وضعوني
تزعل وتنزل تحت جفني وفوقيه

يا صاحبي وان نشدني طيفك شلوني
اقول طيب وطيفك فيه ماريه
ماريه يوم تقبل تجذب لحوني
واجر له من لحون الشوق قافيه
بيحت يا قاصد الغلطات مكنوني
وانا رومانسي احب اهل الرومانسيه
من دونك اعيش وانت تعيش من دوني
يالين اوحيت صوتك لعنبو حيه

ضجت زوايا خفوقي وانشد ركوني
وانا ولد شيخ لي هيبه وشخصيه
الارض ارضي وكون المرجله كوني
لكنه الحب والعاشق وطاريه
تكفون يا ناس بالله لا تلوموني
الصدفه اللي بلا ميعاد جبريه
سموني العاشق المغرم وسموني
الشاعر اللي قصايده ارتجاليه

قنابل من فكر راسي ومضموني
لكن قنابل غلا ما هيب ذريه
واغني البيت متراكب وموزوني
مبدع ومجنون وافكاري خياليه
يا نجد ودي اغني بك على هوني
حوريه الارض فوق الارض نجديه
يا مرحبا يا مغلط في تليفوني
مسموح مسموح والغلطات عفويه"
1,في خاطرك حاجة ( وش فيه بالك ),راشد الماجد,N/A,0,https://www.youtube.com/watch?v=Ecv7VumOhbo,https://www.wneen.com/lyrics/37121,"وش فيه بالك بعيد وجالس تفكر
بدري على الحزن توك في بداياتك
لا تحسب الوقت الي فاتك وتتذكر
عمر الندم مايرد الوقت الي فاتك

لا تترك الدمع فوق الخد يتحدر
حاسب ترا كل عمري فوق وجناتك
يانور عيني مادام العين بك تنظر
حرام تبخل على خلك بنظراتك

ماشفت كيف القمر عقب الظلام انور
بالظبط نفس الشعور ان شفت بسماتك
وان كان في خاطرك حاجه علي ابشر
والله لاسوق العمر كله لمرضاتك

ماتدري انك اذا تكدرت انا اتكدر
وافرح لجل فرحتك واشره لشرهاتك
عودتني على السهر وامسيت ماتسهر
ماغير طيفك يعوضني بسهراتك

احلى سنين العمر بلقياك تتعطر
يادنيتي وابرك السااعات ساعاتك
يمر طيفك واضمك وارجع استغفر
وارد اشوفك واقول الله محلاتك"
1,شف للغلا ( غياب ),راشد الماجد,N/A,0,https://www.youtube.com/watch?v=K-VZL0OE_X4,https://www.wneen.com/lyrics/37120,"شف للغلا شي قبل تطول غربتنا
اخاف كثر الغياب وتصعب الجيه
بالله في البعد قل لي ويش حاجتنا
مادام خذنا الزعل حاجه طفوليه
نبغي نموت ف بعضنا دام ما متنا
يازين خل الامور تصير عفويه
لا تفرح الحاسدين بطول صدتنا
لا تنزع القلب وتقطع مجاريه
الارض سكه تعدتها مساحتنا
جيش من الحب خياله ورجليه
اعشوشب القلب وامطر من صراحتنا
وحبال الاشواق معقوده ومطويه
لو افترقنا ياعمري ويش حجتنا
وحنا نشوف الجفا بانت مواريه
الله يوم النجوم تنام ما بتنا
الطرف شاقي وطرف زايد غيه
على بعضنا اذا اقفينا تلفتنا
و كل يغير من اللهفه طواريه
وان كان نيتك تقطع في علاقتنا
ما عاد عندك ياشيخ الغيد حنيه
مرخوص بس خلنا نحفظ كرامتنا
قدامهم نترك الاوضاع عاديه
لا نشوف بعيونهم منا اهانتنا
ونزود الكيه اللي بالحشا كيه
لكن فديتك لا نبطي ما تلفتنا
اخاف من دمعتي لا تهل عفويه"
1,برج عاجي ( في حضورك ),راشد الماجد,N/A,0,https://www.youtube.com/watch?v=req6w_B_lYg,https://www.wneen.com/lyrics/37119,"في حضورك في غيابك ما يغير لي مزاجي
في كلامك في ملامك ما تكدر لي طربها
لا تحسب ان كل قلب انعكاسه كالزجاجي
وان ياخذ كل عين داخله ويعلن نهبنها

كيف اعذرك عقب هجرك وانت برجك برج عاجي
شفت نفسك مثل شمس للنهار الله وهبها
من عطى لك حق تجرح من يقول انك علاجي
لا تسولف عن علاجي والجروح انت سببها

لا تناجي في عتابك العتب غير التناجي
خذ مقامك باحترامك لا تبين لي عتبها
طال داجي كيف اناجي في الهوى شخص احتجاجي
صار قدره مثل عذره يشبه ذنوب ارتكبها

لا تلاعب بالمشاعر دام بحر الشوق هاجي
المشاعر نبض شاعر والحضيض اللي كتبها
وانت يا اللي صرت خلي احذر اقوال المداجي
قال كلمه لوم لكن ما عرف كيف يحسبها

وان صفينا والتقينا لا تكدر لي مزاجي
خذ مقامك باحترامك لا تبين لي عتبها
في حضورك في غيابك ما يغير لي مزاجي
في كلامك في ملامك ما تكدر لي طربها"
1,منك العذر,راشد الماجد,مساء الخيرفاطمة القرياني,2006,https://www.youtube.com/watch?v=kE-Zy77MZLM,https://www.wneen.com/lyrics/37105,"منك العذر لو كنت زعلان
تامر وانا لك قلت لبيك
ياكل ناسي واجمل انسان
كل العمر يا الزين يفديك

تزعل وانا لك موت ولهان
ماكني محبوبك او اعنيك
ترضى اعيش العمر حيران
وانا اللي راحه قلبي في ايديك

لك في الغلا شيدت بنيان
لك صاحب دايم يداريك
يا سلوتي عن كل من كان
لا تفتكر في يوم ناسيك

خذ صادق الاحساس برهان
ما يقبل مساوم و تشكيك
لانك على الفؤاد سلطان
ماقول غير الله يخليك"
