poem_id,Row_ID,Title_cleaned,Poem_line_cleaned,summary,قافية,البحر,وصل,حركة,نوع,شخص,sentiments,أماكن,أحداث,مواضيع,تصنيف
1,1,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""حبيبتي"",""relation"":""الحبيبة""}]","[""شوق"",""حب""]",[],[],"[""حبيبتي"",""حبك""]",معاصر
1,2,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المخاطبة""}]","[""ألم"",""حسرة""]",[],[],"[""وصلك"",""طبعك"",""الأنانية""]",معاصر
1,3,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""ألم""]",[],[],"[""حبك"",""المحاني""]",معاصر
1,4,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""ألم""]",[],[],"[""وصلك"",""المحاني"",""الجروح""]",معاصر
1,5,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""معرب الأنساب"",""relation"":""معرب""}]","[""تأمل"",""حكمة""]",[],[],"[""معرب"",""العياني"",""العرب""]",معاصر
1,6,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيب"",""relation"":""المحبوب""}]","[""حب"",""وجد""]",[],[],"[""حبك"",""الحناني"",""عروقي"",""غلاك""]",معاصر
2,7,ثلاث مرات,ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل,يعاتب الشاعر محبوبته التي تسعى للفراق بينما هو يتوسل للبقاء.,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حزن"",""شوق""]",[],[],"[""أنت"",""فراقي""]",معاصر
2,8,ثلاث مرات,الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل,يرى الشاعر أن المودة تلاشت والوضع بينهما صار متفاقمًا وصعبًا.,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حزن"",""يأس""]",[],[],"[""أنت"",""بيني وبينك"",""الغلا""]",معاصر
2,9,ثلاث مرات,عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل,يلوم الشاعر هجر محبوبته الذي دمر عشرة العمر الطويلة، مفسدًا كل شيء.,ل,الكامل,,سكون,مقيدة,"[{""name"":""المشتاق"",""relation"":""عام""}]","[""شوق"",""ألم""]",[],[],"[""المشتاق"",""يشتاقي""]",معاصر
2,10,ثلاث مرات,عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل,يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء.,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""صبر"",""فخر""]","[{""name"":""أرض الوفا"",""type"":""ثقافة""}]",[],"[""أنت"",""عليك""]",معاصر
2,11,ثلاث مرات,ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل,يصف الشاعر محبوبته بأنها الغالية التي تثير أشواقه بعينيها الساحرة الطبيعية.,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""شوق"",""حب""]",[],[],"[""أنت"",""الغالي"",""اشواقي"",""عيون""]",معاصر
2,12,ثلاث مرات,بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل,يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل.,ل,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حب"",""إعجاب""]",[],[],"[""أنت"",""الأرق"",""ذوقك"",""الراقي"",""خصرك"",""الأنحل""]",معاصر
2,13,ثلاث مرات,وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل,يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها.,ل,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""},{""name"":""عشاق"",""relation"":""جماعة""}]","[""حب"",""غيرة""]",[],[],"[""أنت"",""عشاقك"",""شفاتك"",""المنحل"",""عيونهم"",""نحل""]",معاصر
2,14,ثلاث مرات,اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل,يتأمل الشاعر في أصعب سؤال طرحه على محبوبته ولم يجد له حلًا.,ل,الكامل,,سكون,مقيدة,"[{""name"":""العاشق"",""relation"":""عام""},{""name"":""أنت"",""relation"":""الحبيب""}]","[""ألم"",""حيرة""]",[],[],"[""العاشق"",""الشاقي"",""أنت""]",معاصر
2,15,ثلاث مرات,وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل,يتساءل كيف تستطيع محبوبته الرحيل بينما حبهما متجذر فيه، وهو عاجز عن المغادرة.,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حب"",""ألم""]",[],[],"[""أنت"",""حبك"",""الاعماقي""]",معاصر
3,16,هواء الامارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها,يوضح الشاعر أن ليست كل الأماكن تمنحه الراحة أو الانتعاش.,ها,الكامل,ا,سكون,مقيدة,"[{""name"":""صاحبي"",""relation"":""الصديق""}]","[""حب"",""شوق""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],"[""يافاهم"",""قصدي""]",معاصر
3,17,هواء الامارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها,رغم أسره لراحته، ينسى قلبه الكثير من البلاد التي يمر بها.,ها,الكامل,ا,سكون,مقيدة,[],"[""حنين"",""حب""]","[{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر
3,18,هواء الامارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,يقارن هواء لندن المعطر بهواء بلاد زايد، مفضلاً الأخير.,ها,الكامل,ا,سكون,مقيدة,[],"[""فخر"",""حب""]","[{""name"":""لندن"",""type"":""مدينة""},{""name"":""بلاد زايد"",""type"":""دولة""},{""name"":""الإمارات"",""type"":""دولة""}]",[],[],معاصر
