poem_id,chunk_id,Title_raw,Poem_line_raw,Summary_chunked,Title_cleaned,poem_lines_subset,Row_IDs_in_chunk,chunk_type,قافية,روي,البحر,وصل,حركة,شخص,تصنيف,sentiments,مواضيع,دين,أحداث,أماكن
1,1,لا تسال مجرب,"حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب
أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب
لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب
تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب","الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد. يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة. لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه. الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.---حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب",لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب","1,2,3,4",regular,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"": ""الحبيبة"", ""relation"": ""المحبوبة"", ""resolved_from"": [""حبك"", ""حبيبتي"", ""وصلك"", ""الانانيه"", ""طبعك""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""اناني""]}]",معاصر,"[""حب"", ""حزن"", ""غضب""]","[""الألم والحزن"", ""الحب والغزل"", ""الشوق والحنين"", ""الغيرة والعتاب""]",[],[],[]
1,2,لا تسال مجرب,"لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب
تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب
يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب
شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب","لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه. الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام. ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم. ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.---لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب",لا تسال مجرب,"لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب","3,4,5,6",final,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"": ""الحبيبة"", ""relation"": ""المحبوبة"", ""resolved_from"": [""حبك"", ""غلاك"", ""حبيبتي"", ""وصلك"", ""يا معرب"", ""العياني"", ""يالمعرب""]}]",معاصر,"[""حب""]","[""الألم والحزن"", ""التراث النبطي"", ""الحب والغزل"", ""الشوق والحنين"", ""الغيرة والعتاب""]",[],[],[]
2,3,ثلاث مرات,"ثـــلاث مـرّات .. وانـت تـدوّر فـراقي      وثــلاث مـرّات .. وانـا اقـول لا ترحــل
الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي      بيـني وبينك أشوف الوضع مسـتفـحل
عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي      سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل
عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل","يعاتب الشاعر محبوبته التي تسعى للفراق بينما هو يتوسل للبقاء. يرى الشاعر أن المودة تلاشت والوضع بينهما صار متفاقمًا وصعبًا. يلوم الشاعر هجر محبوبته الذي دمر عشرة العمر الطويلة، مفسدًا كل شيء. يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء.---ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل
عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل
عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل",ثلاث مرات,"ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل
عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل
عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل","7,8,9,10",regular,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الوصل"", ""انت"", ""تدور فراقي"", ""بيني وبينك"", ""ترحل"", ""حبك""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""الاعماقي"", ""انا"", ""المشتاق"", ""اقول لا ترحل"", ""بيني""]}]",معاصر,"[""حب"", ""حزن"", ""شوق""]","[""الألم والحزن"", ""الحب والغزل"", ""الشوق والحنين"", ""الفراق والهجر""]",[],[],[]
2,4,ثلاث مرات,"عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل
ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي      بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل
بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل
وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل","يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء. يصف الشاعر محبوبته بأنها الغالية التي تثير أشواقه بعينيها الساحرة الطبيعية. يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل. يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها.---عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل
ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل",ثلاث مرات,"عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل
ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل","10,11,12,13",regular,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الغالي"", ""اشواقي"", ""انت"", ""ذوقك"", ""خصرك"", ""بيني وبينك"", ""عليك""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""اخلاقي"", ""بيني""]}]",معاصر,"[""حب""]","[""الألم والحزن"", ""الجمال والعيون"", ""الحب والغزل"", ""الشوق والحنين"", ""الفراق والهجر"", ""الوفاء والصبر""]",[],[],"[{""name"": ""ارض الوفا,"", ""type"": ""أراضي_إماراتية""}]"
2,5,ثلاث مرات,"بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل
وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل
أصـعب سؤال فْـ حياة العاشق الشاقي      إللي طـرحتـه علـيك وما لـقـيت الحـل
وشلون ترحل وحبّك وسـط الاعـماقي      وانـا نـويت الرحـيل ، وما قدرت أرحـل","يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل. يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها. يتأمل الشاعر في أصعب سؤال طرحه على محبوبته ولم يجد له حلًا. يتساءل كيف تستطيع محبوبته الرحيل بينما حبهما متجذر فيه، وهو عاجز عن المغادرة.---بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل
اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل",ثلاث مرات,"بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل
اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل","12,13,14,15",final,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الغالي"", ""اشواقي"", ""انت"", ""ذوقك"", ""خصرك"", ""عشاقك"", ""شفاتك"", ""عليك""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""العاشق الشاقي"", ""عشاقي""]}]",معاصر,"[""حب""]","[""الألم والحزن"", ""الجمال والعيون"", ""الحب والغزل"", ""الشوق والحنين""]",[],[],[]
3,6,هواء الامارات وثراها,"صاحبي يافاهمٍ قصدي ترى ما كل ديره      آتـمـشّى فـي حـدايـقـها وينعـشـني هواها
إتأسر قلبي لو ان نفسي في راحتها أسيره      كم بلاد يمرّها قلبي واذا سافر نساها
خذ مَثَل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها
والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها","يوضح الشاعر أن ليست كل الأماكن تمنحه الراحة أو الانتعاش. رغم أسره لراحته، ينسى قلبه الكثير من البلاد التي يمر بها. يقارن هواء لندن المعطر بهواء بلاد زايد، مفضلاً الأخير. يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا.---صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها
اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها
والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها",هواء الامارات وثراها,"صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها
اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها
والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها","16,17,18,19",regular,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""غاص بالهوجاس""]}, {""name"": ""زايد بن سلطان آل نهيان"", ""relation"": ""المؤسس"", ""resolved_from"": [""بلاد زايد""]}]",معاصر,"[""فخر"", ""فرح""]","[""الشعر والإبداع"", ""الطموح والنجاح"", ""القيادة والزعماء"", ""حب الوطن""]",[],[],"[{""name"": ""البحيرة,"", ""type"": ""طبيعة_عامة""}, {""name"": ""الجزيرة,"", ""type"": ""أراضي_إماراتية""}, {""name"": ""المحيطات,"", ""type"": ""طبيعة_عامة""}, {""name"": ""بلاد زايد,"", ""type"": ""أراضي_إماراتية""}, {""name"": ""لندن,"", ""type"": ""مدن_وأماكن_عربية,""}]"
3,7,هواء الامارات وثراها,"والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها
ألله اكبر يالسنين العوج والشرهه كبيره      شرهة العاقل على عوج السنين اللي مداها
كل ما طالت ما نامن شرّها والطول خيره      إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها
والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها","يعلن محبوبته كأول وآخر الحب، متمنيًا الفداء لها دائمًا. يعرب عن استيائه من السنين العجاف ويصف عتاب العاقل لها. يحذر من شر السنين الطويلة، ويربط الخير بالخلود للأفذاذ. يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها.---والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها
الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها",هواء الامارات وثراها,"والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها
الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها","19,20,21,22",regular,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""المهم ان (لندن) اللي مسكها"", ""انا"", ""ذكرياته""]}]",معاصر,"[""حنين"", ""شوق"", ""فخر""]","[""الإمارات ودبي"", ""الذكريات"", ""الشعر والإبداع"", ""الطموح والنجاح"", ""المجد والعز"", ""حب الوطن""]",[],[],"[{""name"": ""الامارات,"", ""type"": ""أراضي_إماراتية,""}, {""name"": ""الجزيرة,"", ""type"": ""أراضي_إماراتية""}, {""name"": ""ثراها,"", ""type"": ""أراضي_إماراتية""}, {""name"": ""لندن,"", ""type"": ""مدن_وأماكن_عربية,""}]"
3,8,هواء الامارات وثراها,"والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها
مشتهاها تجعل الدنيا مثل وصف البحيره      لـذّةٍ للـشــــــاربـيـن ، ومـتـعــةٍ لـمـن رآهـــا
هكذا الإنسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايّامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها","يصف كيف أن الظروف الصعبة تمنع القلوب من تحقيق رغباتها. يوضح أن رغباتهم تتجلى في جعل الحياة بحيرة متعة للجميع. يتأمل الشاعر في عمر الإنسان المتقلب بين الأحاسيس والأيام. يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين.---والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها
هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها",هواء الامارات وثراها,"والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها
هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها","22,23,24,25",regular,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"": ""الانسان"", ""relation"": ""الإنسان العام"", ""resolved_from"": [""الانسان""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""ذكرياته""]}]",معاصر,"[""حكمة"", ""حنين""]","[""الذكريات"", ""الزمن والقدر"", ""الطموح والنجاح"", ""المجد والعز""]","[""الله"", ""المفاهيم_الإيمانية""]",[],"[{""name"": ""السماء,"", ""type"": ""طبيعة_عامة""}]"
3,9,هواء الامارات وثراها,"ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجأه ما درى ان المجد سيره      سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها
والـقدر على وتيـره .. والعـمر على وتيـره      والثـنين لبعـضـهم يمـشون والدنيا عطاها
ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها","يرى أن ما يتبقى من العمر هو الذكريات، مع تمني أمجاد الآخرين. المجد رحلة مستمرة لا تنتهي بمرور الوقت وثبات الكون. القدر والعمر يسيران متوازيين في مسار الحياة المعطاة. المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه.---ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها
والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها",هواء الامارات وثراها,"ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها
والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها","25,26,27,28",regular,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"": ""القلوب"", ""relation"": ""القلوب النبيلة"", ""resolved_from"": [""القلوب""]}]",معاصر,"[""حزن"", ""حكمة""]","[""الألم والحزن"", ""الزمن والقدر"", ""الطموح والنجاح"", ""المجد والعز"", ""الوفاء والصبر""]","[""المفاهيم_الإيمانية""]",[],"[{""name"": ""السماء,"", ""type"": ""طبيعة_عامة""}]"
3,10,هواء الامارات وثراها,"ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها
السعاده لو تباع فـ سوق الاحزان الكثيره      كل واحـد يعـتريه الـحزن تلـقاه اشـتراها
السـعاده ما اشـترتها روس الاموال الوفـيره      شـوف كـم تـاجـــر يـدوّرها ولكـن ما لـقـاها
بس انا محتاج ما لا احتاج فـعلاً شي غيره      شي يسمو بالنفوس لين يظهر محتواها","المجد لا يُوارث ولا يمنحه الجهل، بل بالجهد تُنال رضاه. السعادة ليست متاحة في سوق الأحزان حيث تهيمن الحزن. المال لا يشتري السعادة رغم وفرتها وسعي التجار إليها. الشاعر يبحث عن شيء أسمى يرفع النفس ويري محتواها الحقيقي.---ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها",هواء الامارات وثراها,"ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها","28,29,30,31",regular,ها,هـ,الهجيني,لا يوجد,فتحة,"[{""name"": ""التجار"", ""relation"": ""التجار"", ""resolved_from"": [""تاجر""]}, {""name"": ""الشاعر"", ""relation"": ""المتحدث"", ""resolved_from"": [""صاحبي""]}, {""name"": ""القلوب"", ""relation"": ""القلوب النبيلة"", ""resolved_from"": [""القلوب""]}, {""name"": ""الناس"", ""relation"": ""الناس العامة"", ""resolved_from"": [""كل واحد""]}]",معاصر,"[""حب"", ""حزن""]","[""الألم والحزن"", ""الإمارات ودبي"", ""الطموح والنجاح"", ""حب الوطن""]",[],[],"[{""name"": ""الديرة,"", ""type"": ""أراضي_إماراتية,""}, {""name"": ""حدايقها,"", ""type"": ""أراضي_إماراتية""}, {""name"": ""سوق الاحزان,"", ""type"": ""مواقع_اجتماعية""}]"
