"poem_id","chunk_id","title_raw","row_ids_in_chunk"
1,2,"لا تسال مجرب","3,4,5,6"
2,3,"ثلاث مرات","7,8,9,10"
2,4,"ثلاث مرات","10,11,12,13"
2,5,"ثلاث مرات","12,13,15,14"
3,6,"هواء الامارات وثراها","16,17,18,19"
3,7,"هواء الامارات وثراها","19,20,21,22"
3,8,"هواء الامارات وثراها","22,23,24,25"
3,9,"هواء الامارات وثراها","25,26,27,28"
3,10,"هواء الامارات وثراها","28,29,30,31"
3,11,"هواء الامارات وثراها","31,32,33,34"
3,12,"هواء الامارات وثراها","32,33,34,35"
4,13,"يتيم","36,37,38,39"
4,14,"يتيم","39,40,41,42"
4,15,"يتيم","42,43,44,45"
5,16,"مرت على بـالي","46,47,48,49"
5,17,"مرت على بـالي","49,50,51,52"
5,18,"مرت على بـالي","52,53,54,55"
5,19,"مرت على بـالي","53,54,55,56"
6,20,"لا تلبـس ذهـب","57,58,59,60"
6,21,"لا تلبـس ذهـب","60,61,62,63"
6,22,"لا تلبـس ذهـب","61,62,63,64"
7,23,"لا تسـأل مجـرّب","65,66,67,68"
7,24,"لا تسـأل مجـرّب","68,69,70,71"
7,25,"لا تسـأل مجـرّب","69,70,71,72"
8,26,"قصر زعبيل","73,74,75,76"
8,27,"قصر زعبيل","76,77,78,79"
8,28,"قصر زعبيل","79,80,81,82"
8,29,"قصر زعبيل","82,83,84,85"
8,30,"قصر زعبيل","85,86,87,88"
8,31,"قصر زعبيل","88,89,90,91"
9,32,"قلب السبع","92,93,94,95"
9,33,"قلب السبع","95,96,97,98"
9,34,"قلب السبع","97,98,99,100"
10,35,"شـعب الإمـارات","101,102,103,104"
10,36,"شـعب الإمـارات","104,105,106,107"
10,37,"شـعب الإمـارات","107,108,109,110"
10,38,"شـعب الإمـارات","110,111,112,113"
10,39,"شـعب الإمـارات","113,114,115,116"
10,40,"شـعب الإمـارات","116,117,118,119"
22,101,"الغصن يابس","302,303,304,305"
23,106,"إيمـــان الشـــعوب","318,319,320,321"
10,41,"شـعب الإمـارات","117,118,119,120"
11,42,"سهم الغلا","121,122,123,124"
11,43,"سهم الغلا","124,125,126,127"
11,44,"سهم الغلا","127,128,129,130"
12,45,"سامح","131,132,133,134"
12,46,"سامح","134,135,136,137"
13,47,"رمز العز علمني","138,139,140,141"
13,48,"رمز العز علمني","141,142,143,144"
13,49,"رمز العز علمني","144,145,146,147"
13,50,"رمز العز علمني","147,148,149,150"
13,51,"رمز العز علمني","150,151,152,153"
13,52,"رمز العز علمني","153,154,155,156"
13,53,"رمز العز علمني","154,155,156,157"
14,54,"ديــوان العــرب","158,159,160,161"
14,55,"ديــوان العــرب","161,162,163,164"
14,56,"ديــوان العــرب","164,165,166,167"
14,57,"ديــوان العــرب","167,168,169,170"
14,58,"ديــوان العــرب","170,171,175,172"
14,59,"ديــوان العــرب","175,172,173,174"
15,60,"جسـر الصـداقة","176,177,178,179"
15,61,"جسـر الصـداقة","179,180,181,182"
15,62,"جسـر الصـداقة","182,183,184,185"
15,63,"جسـر الصـداقة","185,186,187,188"
15,64,"جسـر الصـداقة","188,189,190,191"
15,65,"جسـر الصـداقة","191,192,193,194"
16,66,"تجربة عمر","195,196,197,198"
16,67,"تجربة عمر","198,199,200,201"
16,68,"تجربة عمر","201,202,203,204"
16,69,"تجربة عمر","204,205,206,207"
16,70,"تجربة عمر","207,208,209,210"
16,71,"تجربة عمر","210,211,212,213"
16,72,"تجربة عمر","213,214,215,216"
16,73,"تجربة عمر","215,216,217,218"
17,74,"أوّل عشـق","219,220,221,222"
17,75,"أوّل عشـق","222,223,224,225"
17,76,"أوّل عشـق","225,226,227,228"
17,77,"أوّل عشـق","228,229,230,231"
17,78,"أوّل عشـق","231,232,233,234"
18,79,"الهجر","235,236,237,238"
18,80,"الهجر","238,239,240,241"
18,81,"الهجر","240,241,242,243"
19,82,"آسف آسف","244,245,246,247"
19,83,"آسف آسف","247,248,249,250"
19,84,"آسف آسف","250,251,252,253"
19,85,"آسف آسف","253,254,255,256"
19,86,"آسف آسف","256,257,258,259"
19,87,"آسف آسف","259,260,261,262"
19,88,"آسف آسف","262,263,264,265"
19,89,"آسف آسف","265,266,267,268"
20,90,"أحمر الورد","269,270,271,272"
20,91,"أحمر الورد","272,273,274,275"
20,92,"أحمر الورد","275,276,277,278"
20,93,"أحمر الورد","278,279,280,281"
20,94,"أحمر الورد","281,282,283,284"
20,95,"أحمر الورد","284,285,286,287"
21,96,"انت وانا","288,289,290,291"
21,97,"انت وانا","291,292,293,294"
21,98,"انت وانا","294,295,296,297"
21,99,"انت وانا","295,296,297,298"
22,100,"الغصن يابس","299,300,301,302"
22,102,"الغصن يابس","305,306,307,308"
23,103,"إيمـــان الشـــعوب","309,310,311,312"
23,104,"إيمـــان الشـــعوب","312,313,314,315"
23,105,"إيمـــان الشـــعوب","315,316,317,318"
23,107,"إيمـــان الشـــعوب","321,322,323,324"
23,108,"إيمـــان الشـــعوب","324,325,326,327"
23,109,"إيمـــان الشـــعوب","327,328,329,330"
23,110,"إيمـــان الشـــعوب","330,331,332,333"
23,115,"إيمـــان الشـــعوب","345,346,347,348"
23,111,"إيمـــان الشـــعوب","333,334,335,336"
23,112,"إيمـــان الشـــعوب","336,337,338,339"
23,113,"إيمـــان الشـــعوب","339,340,341,342"
23,114,"إيمـــان الشـــعوب","342,343,344,345"
23,117,"إيمـــان الشـــعوب","351,352,353,354"
23,118,"إيمـــان الشـــعوب","354,355,356,357"
23,119,"إيمـــان الشـــعوب","357,358,359,360"
23,120,"إيمـــان الشـــعوب","360,361,362,363"
23,125,"إيمـــان الشـــعوب","375,376,377,378"
23,121,"إيمـــان الشـــعوب","363,364,365,366"
