Id,Title,Audio,Video,Audio2
3,ثــلاث مـرّات,PoetryMedia\3\3_audio_1.mp3,,
5,يتيم,PoetryMedia\5\5_audio_1.mp3,,
9,قصر زعبيل,PoetryMedia\9\9_audio_1.mp3,,
11,شـعب الإمـارات,PoetryMedia\11\11_audio_1.mp3,,
13,سامح,PoetryMedia\13\13_audio_1.mp3,,
14,رمز العز علمني,PoetryMedia\14\14_audio_1.mp3,,
17,تجربة عمر,PoetryMedia\17\17_audio_1.mp3,,
19,الهجر,PoetryMedia\19\19_audio_1.mp3,,
20,آسف آسف,PoetryMedia\20\20_audio_1.mp3,,
21,أحمر الورد,PoetryMedia\21\21_audio_1.mp3,,
22,انت وانا,PoetryMedia\22\22_audio_1.mp3,,
23,الغصن يابس ,PoetryMedia\23\23_audio_1.mp3,,
24,إيمـــان الشـــعوب,PoetryMedia\24\24_audio_1.mp3,,
25,قصيدة المستحــــيل,PoetryMedia\25\25_audio_1.mp3,,
26,مرت سنة  ,PoetryMedia\26\26_audio_1.mp3,,
27,الإســـم,PoetryMedia\27\27_audio_1.mp3,,
28,أدب,PoetryMedia\28\28_audio_1.mp3,,
30,واحد x إثنين,PoetryMedia\30\30_audio_1.mp3,,
31,إبليـس ملعـون  ,PoetryMedia\31\31_audio_1.mp3,,
34,أزعـل عـليــك ,PoetryMedia\34\34_audio_1.mp3,,
35,اسـتجـواب,PoetryMedia\35\35_audio_1.mp3,,
37,أشيـاء .. وأشيـاء,PoetryMedia\37\37_audio_1.mp3,,
38,اعمار   ,PoetryMedia\38\38_audio_1.mp3,,
39,أفـا والله أفـا,PoetryMedia\39\39_audio_1.mp3,,
40,إقرب تعال ,PoetryMedia\40\40_audio_1.mp3,,
42,إلى البـراءه,PoetryMedia\42\42_audio_1.mp3,,
45,آمر يا بو خالد ,PoetryMedia\45\45_audio_1.mp3,,
49,إنتـبــاه ,PoetryMedia\49\49_audio_1.mp3,,
51,أوراقـــي   ,PoetryMedia\51\51_audio_1.mp3,,
53,الأخيـــر .. الأوّل   ,PoetryMedia\53\53_audio_1.mp3,,
55,الـجــروح   ,PoetryMedia\55\55_audio_1.mp3,,
57,السـالفــه   ,PoetryMedia\57\57_audio_1.mp3,,
60,الشـاعر اللـي,PoetryMedia\60\60_audio_1.mp3,,
61,الصاحب الـمعني ,PoetryMedia\61\61_audio_1.mp3,,
62,الغـول و العنـقاء ,PoetryMedia\62\62_audio_1.mp3,,
63,الفصـول الأربعـة   ,PoetryMedia\63\63_audio_1.mp3,,
67,الـموعـد,PoetryMedia\67\67_audio_1.mp3,,
68,الناس بالإحسـاس  ,PoetryMedia\68\68_audio_1.mp3,,
70,بالمخـتصـــر,PoetryMedia\70\70_audio_1.mp3,,
70,بالمخـتصـــر,PoetryMedia\70\70_audio_2.mp3,,
73,بـرج عـاجـي ,PoetryMedia\73\73_audio_1.mp3,,
74,بعـلبـك,PoetryMedia\74\74_audio_1.mp3,,
75,بُـن وْ هيـل وْ تـمر,PoetryMedia\75\75_audio_1.mp3,,
77,بيـاض التجـربـه,PoetryMedia\77\77_audio_1.mp3,,
79,ترنيمــة,PoetryMedia\79\79_audio_1.mp3,,
81,تناهيت الـمحـبّـه   ,PoetryMedia\81\81_audio_1.mp3,,
84,ثقة زايد,PoetryMedia\84\84_audio_1.mp3,,
85,ثـلاث ايّـام ,PoetryMedia\85\85_audio_1.mp3,,
86,ثـمار الهـوى ,PoetryMedia\86\86_audio_1.mp3,,
87,جـرح الـصـداقــة,PoetryMedia\87\87_audio_1.mp3,,
88,جُودنا ينجَاد منـّه جُود,PoetryMedia\88\88_audio_1.mp3,,
90,حبـال صوتـك ,PoetryMedia\90\90_audio_1.mp3,,
93,حـصـّــة ,PoetryMedia\93\93_audio_1.mp3,,
94,حكـومـة الـحـب,PoetryMedia\94\94_audio_1.mp3,,
97,حـمايـــم,PoetryMedia\97\97_audio_1.mp3,,
98,خـذ من الشاعر كــــلامه,PoetryMedia\98\98_audio_1.mp3,,
99,خـلاص يعـني,PoetryMedia\99\99_audio_1.mp3,,
100,دراهـم,PoetryMedia\100\100_audio_1.mp3,,
