Id,Name,Description,URL,SongSum,ProfileImage,SingerFocus,createdAt,UpdatedAt
1,حسين الجسمي,"مغني وملحن وعازف بيانو إماراتي بارز، ولد في 25 أغسطس 1979 في خورفكان، اشتهر بصوته المميز وقدرته على الغناء باللهجة المصرية والخليجية، أطلق أغنيته الأولى ""بودعك"" وأصبح من أبرز نجوم الغناء العربي 12. سفير النوايا الحسنة للأمم المتحدة، بدأ مشواره الفني في برنامج البحث عن المواهب ضمن مهرجان دبي للتسوق 4.",https://en.wikipedia.org/wiki/Hussein_Al_Jassmi,32,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
2,راشد الماجد,"مغني سعودي من أشهر مطربي الخليج، ولد في 27 يوليو 1969 في المنامة بالبحرين لأب سعودي وأم بحرينية، يُعرف بأدائه العذب وموهبته في الطمأنينة في الغناء 910"". بدأ مسيرته الفنية عام 1984 وأطلق العديد من الأغاني الناجحة مثل """"الزمان بخير"""" و""""أخت نجد"""" و""""سيدة عمري"""" ""9.",https://en.wikipedia.org/wiki/Rashed_Al-Majed,23,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
3,اسماء لمنور,"مغنية وممثلة مغربية رائدة في الأغنية المغربية والعربية، ولدت في 25 يوليو 1978 في الدار البيضاء، تُلقب بـ""ملكة الأندلس"" بسبب تميزها في الغناء الأندلسي 1923"". بدأت مسيرتها عام 1995 من خلال مشاركتها في مهرجان """"أنغام"""" وقدمت العديد من الأغاني للتراث العربي والمغربي ""20.",https://en.wikipedia.org/wiki/Asma_Lmnawar,20,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
4,ميحد حمد,مغني إماراتي بارز ولد في 22 مايو 1963 في مدينة كلباء التابعة لإمارة الشارقة، عُرف بغنائه بلهجة حضر الساحل واتقانه لها 2932. يعتبر أحد أهم رموز التراث الغنائي الإماراتي، بدأ نشاطه الغنائي في سن مبكرة عام 1975 وأصدر أكثر من 1000 أغنية 3236.,https://ar.wikipedia.org/wiki/ميحد_حمد,17,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
5,كاظم الساهر,"مغني وملحن عراقي يُلقب بـ""القيصر"" و""قيصر الأغنية العربية""، ولد في 12 سبتمبر 1957 في الموصل بالعراق، درس الموسيقى 6 سنوات في معهد الدراسات الموسيقية ببغداد 3842. لحن جميع أغانيه بنفسه، وقدم أكثر من 700 أغنية، حصل على جنسيتين قطرية وكندية، وكرّم من إنجلترا وفرنسا 4143.",https://en.wikipedia.org/wiki/Kadim_Al_Sahir,13,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
6,ابوبكر سالم,"مغني وأديب وشاعر وملحن يمني سعودي، ولد في 17 مارس 1939 في مدينة تريم التاريخية بحضرموت، يُلقب بـ""أبو الغناء الخليجي"" و""صاحب الحنجرة الذهبية"" 4849. بدأ مسيرته الفنية مبكراً وقدم العديد من الأغاني التي أثرت في الساحة الخليجية والعربية، توفي في 10 ديسمبر 2017 47.",https://ar.wikipedia.org/wiki/أبو بكر سالم,7,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
7,بلقيس فتحي,مغنية وممثلة يمنية-إماراتية، ولدت في 20 أكتوبر 1984 في أبوظبي، وهي ابنة المغني اليمني أحمد فتحي، بدأت مسيرتها الفنية عام 2011 5659. نالت جوائز خليجية وعربية، تُعرف بجمال صوتها وحضورها، ولديها علامة تجميل خاصة بها، وتقدم عروضها بأربع لغات حول العالم 5760.,https://en.wikipedia.org/wiki/Balqees,4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
8,الوسمي,مغني إماراتي يُعرف بحبه للأغاني الإماراتية التراثية، صوته الحنون وطلته المميزة جعلته محبوباً لدى الجمهور 65. أعلن اعتزاله الغناء عام 2010 بعد وفاة خاله المقرب، ثم عاد إلى الساحة الفنية بعد 6 سنوات، ويعتبر من فناني التراث الغنائي الإماراتي 6870.,https://ar.wikipedia.org/wiki/الوسمي_(مغني),4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
9,عبدالمجيد عبدالله,"مغني وملحن سعودي يُلقب بـ""أمير الطرب""، ولد في 3 أغسطس 1962، بدأ مشواره الفني في سن الثالثة عشرة على مسرح نادي الاتحاد السعودي 7377. قدم أولى حفلاته الجماهيرية عام 1979، ويعتبر عام 1984 بداية شهرته، يملك في رصيده 64 ألبوماً وعدد كبير من الأغاني المنفردة 7678.",https://en.wikipedia.org/wiki/Abdul_Majeed_Abdullah,4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
10,محمد عبده,"مغني وملحن سعودي يُلقب بـ""فنان العرب""، ولد في 12 يونيو 1949 في محافظة الدرب بمنطقة جازان جنوب السعودية، يُعتبر من أبرز الفنانين في الوطن العربي 8286. بدأ مشواره الفني في الستينيات، وقدم فنه على مسارح الوطن العربي ووصل صيته إلى العالمية، توفي والده في سن السادسة فنشأ يتيماً 8387.",https://ar.wikipedia.org/wiki/محمد_عبده_(فنان),4,.\Singers\Focus\{Id},.\Singers\thumbnails\{Id},15/2/2026,17/2/2026
