poem_id,Row_ID,Title_cleaned,Poem_line_cleaned,places,religion,animals,events,entities,sentiments,subjects,summary,Title_raw,Poem_line_raw,ai_images_thumb,qafiya,rawy,wasl,haraka,meter,category
1,1,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,[],[],[],[],"[{""name"": ""حبيبتي"", ""relation"": ""المحبوب"", ""resolved_from"": [""حبيبتي"", ""حبك""]}]",حب,"[""الحب والغزل"", ""الشوق والحنين""]",الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد.,لا تسال مجرب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
1,2,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,[],[],[],[],"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""وصلك""]}]",غضب,"[""الحب والغزل"", ""الغيرة والعتاب""]",يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة.,لا تسال مجرب,أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
SAMPLE,1,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,"[{""resolved_from"": ""الديرة"", ""name"": ""أراضي إماراتية""}, {""resolved_from"": ""حدايقها"", ""name"": ""أراضي إماراتية""}]","[""الله"", ""المناسبات الدينية"", ""الكتب المقدسة""]","[{""name"":""الغزال"",""category"":""وحوش برية"",""resolved_from"":[""غزاله""]},{""name"":""الأسد"",""category"":""وحوش برية"",""resolved_from"":[""سبعه""]}]","[""ليلة القدر""]","[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""المشتاق""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الوصل""]}], [{""name"": ""حبيبتي"", ""relation"": ""المحبوب"", ""resolved_from"": [""حبيبتي"", ""حبك""]}]",حب,"[""الحب والغزل"", ""الشوق والحنين""]",الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد.,لا تسال مجرب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
1,3,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,[],[],[],[],"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبك""]}]",حزن,"[""الحب والغزل"", ""الألم والحزن""]",لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه.,لا تسال مجرب,لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
1,4,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,[],[],[],[],"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""وصلك""]}]",حب,"[""الألم والحزن"", ""الشوق والحنين""]",الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.,لا تسال مجرب,تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
1,5,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,[],[],"[{""name"":""الجمل"",""category"":""حيوان"",""resolved_from"":[""معرب""]}]",[],[],فخر,"[""التراث النبطي"", ""الغيرة والعتاب""]",ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم.,لا تسال مجرب,يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
1,6,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,[],[],[],[],"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبك"",""غلاك""]}]",حب,"[""الحب والغزل"", ""الشوق والحنين""]",ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.,لا تسال مجرب,شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب,/images/poems/1_Drive_New_Thumbnail_view.jpg,رب,ب,لا يوجد,فتحة,الهجيني,معاصر
2,7,ثلاث مرات,ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل,[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""انت""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""انا""]}]",حزن,"[""الفراق والهجر"", ""الشوق والحنين""]",يعاتب الشاعر محبوبته التي تسعى للفراق بينما هو يتوسل للبقاء.,ثلاث مرات,ثـــلاث مـرّات .. وانـت تـدوّر فـراقي      وثــلاث مـرّات .. وانـا اقـول لا ترحــل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,8,ثلاث مرات,الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل,[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""بينك""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""بيني""]}]",حب,"[""الفراق والهجر"", ""الألم والحزن""]",يرى الشاعر أن المودة تلاشت والوضع بينهما صار متفاقمًا وصعبًا.,ثلاث مرات,الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي      بيـني وبينك أشوف الوضع مسـتفـحل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
2,9,ثلاث مرات,عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل,[],[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""المشتاق""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""الوصل""]}]",شوق,"[""الشوق والحنين"", ""الفراق والهجر""]",يلوم الشاعر هجر محبوبته الذي دمر عشرة العمر الطويلة، مفسدًا كل شيء.,ثلاث مرات,عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي      سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل,/images/poems/2_Drive_New_Thumbnail_view.jpg,حل,ل,لا يوجد,فتحة,الهجيني,معاصر
