poem_id,row_ids,line_count,Title_cleaned,Title_raw,category,meter,qafiya,ai_images_thumb,Poem_line_cleaned,Poem_line_raw,places,religion,animals,events,entities,sentiments,subjects,summary_combined,ai_prompt
1,"[1, 2, 3, 4]",4,لا تسال مجرب,لا تسال مجرب,معاصر,الهجيني,رب,/images/poems/1_Drive_New_Thumbnail_view.jpg,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب","حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب
أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب
لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب
تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب",[],[],[],[],"[{""name"": ""حبيبتي"", ""relation"": ""المحبوب"", ""resolved_from"": [""حبيبتي"", ""حبك""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""وصلك""]}]","[""حب"", ""غضب"", ""حزن""]","[""الحب والغزل"", ""الشوق والحنين"", ""الغيرة والعتاب"", ""الألم والحزن""]",الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد. يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة. لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه. الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.,"الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد. يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة. لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه. الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام. | Mood: حب, غضب, حزن | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
1,"[5, 6]",2,لا تسال مجرب,لا تسال مجرب,معاصر,الهجيني,رب,/images/poems/1_Drive_New_Thumbnail_view.jpg,"يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب","يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب
شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب",[],[],"[{""name"": ""الجمل"", ""category"": ""حيوان"", ""resolved_from"": [""معرب""]}]",[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""حبك"", ""غلاك""]}]","[""فخر"", ""حب""]","[""التراث النبطي"", ""الغيرة والعتاب"", ""الحب والغزل"", ""الشوق والحنين""]",ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم. ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.,"ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم. ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها. | Mood: فخر, حب | Animals: الجمل | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
10,"[101, 102, 103, 104]",4,شعب الامارات,شـعب الإمـارات,معاصر,الهجيني,الها,/images/poems/10_Drive_New_Thumbnail_view.jpg,"مداخيل الشعر وايد ، وانا شاعر ولي مدخال      ولكن المخارج ما هي تشابه مداخلها
وانا بين المخارج والمداخل يوم طاب الفال      جبرت اخر بيوت المفردات ينافس اولها
سبحت من الشعر بحر وملكت من البيوت جزال      وهي ماهي بمهنه ، لكن افكاري تداولها
من اغلي الامنيات اللي من القلب وتمر البال      صنعت اغلي البيوت اللي تبيض وجه قايلها","مداخيل الشعر وايد ، وانا شاعر ولي مدخال      ولكـن الـمخـــارج ما هي تـشـــابـه مــداخلـها
وانا بين الـمخارج والمداخل يوم طاب الفـال      جـبرت آخر بـيـوت الـمـفردات ينافـس اوّلـها
سبحت من الشعر بحر وملكت من البيوت جزال      وهي ماهـي بْـمـهـنـه ، لكـن افـكـاري تـداولـهـا
من اغلى الإمنيـات اللي من القلب وتمر البـال      صنعت اغلى البيـوت اللي تبيّض وَجه قايلـها","[{""resolved_from"": ""البحر"", ""name"": ""طبيعة عامة""}]",[],[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""انا""]}]","[""حب""]","[""الشعر والإبداع""]",الشاعر يصف تعدد مداخل الشعر واختلاف مخارجه رغم اعتزازه بموهبته. يتحدث عن حفاظه على تناسق وقوة أبياته حتى النهاية. يشبّه شعره ببحر واسع ويمتلك أبياتاً طيبة تنبع من أفكاره المتجددة. يصنع أجمل أبيات شعرية تنبع من أعمق أمنياته ومشاعره.,"الشاعر يصف تعدد مداخل الشعر واختلاف مخارجه رغم اعتزازه بموهبته. يتحدث عن حفاظه على تناسق وقوة أبياته حتى النهاية. يشبّه شعره ببحر واسع ويمتلك أبياتاً طيبة تنبع من أفكاره المتجددة. يصنع أجمل أبيات شعرية تنبع من أعمق أمنياته ومشاعره. | Mood: حب | Location: طبيعة عامة | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
10,"[105, 106, 107, 108]",4,شعب الامارات,شـعب الإمـارات,معاصر,الهجيني,لها,/images/poems/10_Drive_New_Thumbnail_view.jpg,"اغذيها باحاسيس لها في خافقي مدهال      لها كفي مطيعه يوم تكتبها اناملها
لو ان افكار شعري خيل ، ما تلقي لها خيال      سوي فكري تحلق في الفضا يوم اتخيلها
علي الدوله وريسها (خليفه ) قايد الابطال      هماليل السحاب اللي غصون الارض بللها
ابارك له في شهر نزل القران فيه انزال      يضم من الليالي ليله القدر وفضايلها","أغذّيـها باحـاسيـسٍ لـها فـي خافـقـي مدهـال      لـها كـفّـي مـطـيـعــــه يوم تـكـتـبـها أنـامـلــهـا
لو ان افكـار شـعري خيل ، ما تلقى لها خيّـال      سوى فكري تحلّـق فـي الفضـا يوم آتخـيّلـهــا
على الدوله وريّسـها (خليفـة ) قـايد الأبطـال      هـماليـل السـحاب اللي غـصـون الأرض بـلّـلـها
أبارك له فـي شهـر ٍنـزّل القـرآن فيـه انـزال      يضـم مْن اللـيـالي لـيـلة الـقـدر وفـضــايـلـها","[{""resolved_from"": ""الفضا"", ""name"": ""طبيعة عامة""}, {""resolved_from"": ""الأرض"", ""name"": ""أراضي إماراتية""}]","[{""name"": ""الله""}, {""name"": ""المناسبات الدينية""}, {""name"": ""الكتب المقدسة""}]","[{""name"": ""الحصان"", ""category"": ""حصان"", ""resolved_from"": [""خيل""]}]","[{""name"": ""ليلة القدر""}]","[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""فكري""]}, {""name"": ""خليفة بن زايد آل نهيان"", ""relation"": ""رئيس دولة الإمارات"", ""resolved_from"": [""ريسها (خليفه )""]}]","[""حب"", ""فخر"", ""أمل""]","[""الشعر والإبداع"", ""الطبيعة والخيل"", ""القيادة والزعماء"", ""حب الوطن"", ""الإيمان والدعاء""]",يغذي شعره بمشاعر صادقة تولدها أنامل حبيبته عند الكتابة. يصف أفكاره الشعرية كخيول خيالية تحلق به في المخيلة. يمدح قائد الدولة خليفة المبارك ويشبهه بالسحاب الذي يروي الأرض. يهنئ القائد بمناسبة نزول القرآن في شهر مبارك يحوي ليلة القدر.,"يغذي شعره بمشاعر صادقة تولدها أنامل حبيبته عند الكتابة. يصف أفكاره الشعرية كخيول خيالية تحلق به في المخيلة. يمدح قائد الدولة خليفة المبارك ويشبهه بالسحاب الذي يروي الأرض. يهنئ القائد بمناسبة نزول القرآن في شهر مبارك يحوي ليلة القدر. | Mood: حب, فخر, أمل | Animals: الحصان | Location: طبيعة عامة, أراضي إماراتية | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
10,"[109, 110, 111, 112]",4,شعب الامارات,شـعب الإمـارات,معاصر,الهجيني,لها,/images/poems/10_Drive_New_Thumbnail_view.jpg,"ارددها علي الاطلال .. وتردد معي الاطلال      يالين اسمع صداها والمخاليق تناقلها
لو ان دله هل الامجاد ما معها سوي فنيال      تري الفنيال في راحه يمينه يا مهيلها
في كل بلاد له كلمه ، والي من قال قال وطال      يطول جبال الارض وكف ابو سلطان اطولها
مع شعب العروبه موقفه تفخر به الاجيال      والي من مالت احوال العرب وقف وعدلها","أردّدها على الاطـلال .. وتردّد معي الاطـلال      يالين اسـمـع صـداهـا والـمـخـالـيق تْـنـاقلــها
لو ان دلّـة هل الأمـجاد ما مـعـها سوى فـنيال      ترى الـفـنيال فـي راحـة يـمـيـنه يا مهـيّـلـها
في كل بلاد له كلمه ، والى من قال قال وْطال      يطول جبال الارض وكف ابو سلطـان أطولـهـا
مع شـعـب الـعروبه مـوقفه تـفخر به الأجيال      والى من مالت احـوال العـرب وقّـف وعدّلـهـا","[{""resolved_from"": ""الاطلال"", ""name"": ""مواقع نبطية""}, {""resolved_from"": ""جبال الارض"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""خليفة بن زايد آل نهيان"", ""relation"": ""رئيس دولة الإمارات"", ""resolved_from"": [""فنيال"", ""يمينه""]}]","[""حنين"", ""فخر""]","[""الشعر والإبداع"", ""الذكريات"", ""المجد والعز"", ""القيادة والزعماء""]",يردد أبياته عند الأطلال ويستمتع بصداها المتردد بين الناس. يشبه مجد الدولة بكف ترفع الراية بفخر وثبات. يشيد بشخصية أبو سلطان التي تتمتع بقوة وتأثير يمتد كما جبال الأرض. يبرز موقف الشعب العربي الذي يفتخر به الأجيال ويقف للعدل في أحوال العرب.,"يردد أبياته عند الأطلال ويستمتع بصداها المتردد بين الناس. يشبه مجد الدولة بكف ترفع الراية بفخر وثبات. يشيد بشخصية أبو سلطان التي تتمتع بقوة وتأثير يمتد كما جبال الأرض. يبرز موقف الشعب العربي الذي يفتخر به الأجيال ويقف للعدل في أحوال العرب. | Mood: حنين, فخر | Location: مواقع نبطية, أراضي إماراتية | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
10,"[113, 114, 115, 116]",4,شعب الامارات,شـعب الإمـارات,معاصر,الهجيني,لها,/images/poems/10_Drive_New_Thumbnail_view.jpg,"ولابو راشد من المجد التليد العز والاجلال      ومن الالقاب اشرف ما حوت الالقاب وانبلها
(صلاح الدين ) فخر للعروبه يا هل الامثال      وابو راشد (صلاح الدين) لاهل الارض باكملها
و (ابو خالد ) صنع دوله بهمته وتحته رجال      الي قالت ، تبرهن قولها صادق فعايلها
سلايله المكارم ، والفخر لا من ذكره اختال      وعريبين السلايل تفتخر فيها سلايلها","ولابو راشد من الـمجد التليد العز والإجلال      وْمن الألقـاب أشرف ما حوت الالقـاب وانبلـهـا
(صلاح الدين ) فخـرٍ للعروبه يا هل الأمثـال      وابو راشد (صلاح الدين) لاهل الأرض باكملها
و (ابو خالد ) صنع دوله بهمّـته وْتحته رجال      إلى قالـت ، تبـرهـن قولـها صـادق فـعـايلـهـا
سـلايله الـمكارم ، والفـخر لا من ذكره اختال      وعريـبيـن السـلايل تـفـتخر فـيها سـلايلـهــا","[{""resolved_from"": ""الارض"", ""name"": ""أراضي إماراتية""}]",[],[],[],"[{""name"": ""محمد بن راشد آل مكتوم"", ""relation"": ""الأب"", ""resolved_from"": [""ابو راشد""]}, {""name"": ""محمد بن زايد آل نهيان"", ""relation"": ""رئيس دولة الإمارات"", ""resolved_from"": [""(ابو خالد )""]}]","[""فخر""]","[""القيادة والزعماء"", ""المجد والعز"", ""الإمارات ودبي""]",يمدح أبو راشد ويصف مجده وعزه وأسمائه النبيلة والفريدة. يكرر تمجيد أبو راشد بلقب صلاح الدين الذي هو فخر للعروبة والعالم. يصف أبو خالد بأنه باني دولة قوية بجهده ورجاله الناجحين. يشير إلى أن أبنائه من المكارم والفخر لمن ذكروا، ويفتخر العرب بسلالتهم.,"يمدح أبو راشد ويصف مجده وعزه وأسمائه النبيلة والفريدة. يكرر تمجيد أبو راشد بلقب صلاح الدين الذي هو فخر للعروبة والعالم. يصف أبو خالد بأنه باني دولة قوية بجهده ورجاله الناجحين. يشير إلى أن أبنائه من المكارم والفخر لمن ذكروا، ويفتخر العرب بسلالتهم. | Mood: فخر | Location: أراضي إماراتية | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
10,"[117, 118, 119, 120]",4,شعب الامارات,شـعب الإمـارات,معاصر,الهجيني,لها,/images/poems/10_Drive_New_Thumbnail_view.jpg,"لو ان للطيب رجل يمثله بو خالد الرجال      يمثله ، وشيوخ الدار لو وقف يمثلها
وجبال الارض لو نقدر نسوي منها تمثال      لابو خالد ، نحتناها من اخرها الي اولها
علي الهامات له هامه وعلي حد السحب تختال      صعيبات المشاكل كل ما جاته يذللها
وعسي شعب الامارات العزيزه دوم ف احسن حال      عسي دعواتهم ربي في شهر الخير يقبلها","لو ان للطـيـب رجـل يمـثّـله بو خـالـد الرجّـال      يـمـثّـلـه ، وشـيـــــوخ الـدار لـو وقّـف يمـثّـلـهــا
وجبال الأرض لو نـقـدر نسـوّي منّـها تـمثال      لابو خـالـد ، نـحـتـنـاها مـن آخـرها إلى اوّلــها
على الهامات له هامه وعلى حد السحب تختال      صـعـيـبـات الـمشـاكـل كـل مـا جـاته يذلّـلــهـا
وعسى شعب الإمارات العزيزه دوم فـ احسن حال      عسى دعواتهم ربّي فـي شـهر الخـير يقـبلـهـــا","[{""resolved_from"": ""جبال الارض"", ""name"": ""أراضي إماراتية""}]","[{""name"": ""الله""}, {""name"": ""المناسبات الدينية""}]",[],"[{""name"": ""رمضان""}]","[{""name"": ""محمد بن زايد آل نهيان"", ""relation"": ""رئيس دولة الإمارات"", ""resolved_from"": [""بو خالد""]}]","[""فخر"", ""أمل""]","[""القيادة والزعماء"", ""الفخر والشجاعة"", ""الطموح والنجاح"", ""حب الوطن"", ""الإيمان والدعاء""]",يؤكد أن أبو خالد يمثل الخير والشجاعة والرجولة التي يتفاخر بها الجميع. يشبه تمثال أبو خالد بجبل الأرض لو صنع من الجبال تمثال له بكماله. يلفت إلى هيبة أبو خالد وقدرته على حل أصعب المشاكل بسهولة. يتمنى دوام الخير لشعب الإمارات وقبول دعائهم في شهر رمضان المبارك.,"يؤكد أن أبو خالد يمثل الخير والشجاعة والرجولة التي يتفاخر بها الجميع. يشبه تمثال أبو خالد بجبل الأرض لو صنع من الجبال تمثال له بكماله. يلفت إلى هيبة أبو خالد وقدرته على حل أصعب المشاكل بسهولة. يتمنى دوام الخير لشعب الإمارات وقبول دعائهم في شهر رمضان المبارك. | Mood: فخر, أمل | Location: أراضي إماراتية | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
100,"[1362, 1363, 1364, 1365]",4,دلال و مسند,دلال و مسند,معاصر,الهجيني,يك,/images/poems/100_Drive_New_Thumbnail_view.jpg,"شف دمعتي تنتحر لمواصلك يا بعدي      من كل دمعه معي لهفه تسلم عليك
من عيني اللي ذبحها بعدك السرمدي      ومن قلبي اللي يبيع العالم ويشتريك
يا اجمل صدف عمري لهجران ذكره ردي      لا تغيب وتطول الغيبه وانا محتريك
تروي ضما قلبي اطلاله ثغرك الندي      سكنت قلبي ولا لك في الحنايا شريك","شـف دمعـتي تـنتحر لمواصـلك يا بْعَـدي      من كل دمعـه معي لهـفه تـسلـّم عليك
من عـيني اللي ذبحـها بُعـدك السـرمـدي      ومن قلبي اللي يبيع العالم وْيشتريك
يا اجمل صدف عمري لهجران ذكره ردي      لا تغـيب وتطـوّل الغـيبه وانا محـتريك
تـروي ضـما قـلبي اطـلالة ثـغـرك النـدي      سكنت قلبي ولا لك في الحـنايا شريك",[],[],[],[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""مواصلك"", ""يا بعدي"", ""عليك""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""دمعتي"", ""معي""]}]","[""شوق"", ""حب""]","[""الشوق والحنين"", ""الألم والحزن"", ""الحب والغزل"", ""الفراق والهجر"", ""الجمال والعيون""]",دموع الشاعر تعبر عن شوق عميق ولهفة للوصال مع الحبيب العين والقلب معذبان بفقدان الحبيب ومستعدان للتضحية من أجله يناشد الحبيب أن يعيد ذكره ويعود بعد الفراق الطويل ابتسامة الحبيب تروي عطش القلب وتسكنه بلا شريك,"دموع الشاعر تعبر عن شوق عميق ولهفة للوصال مع الحبيب العين والقلب معذبان بفقدان الحبيب ومستعدان للتضحية من أجله يناشد الحبيب أن يعيد ذكره ويعود بعد الفراق الطويل ابتسامة الحبيب تروي عطش القلب وتسكنه بلا شريك | Mood: شوق, حب | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
100,"[1366, 1367, 1368, 1369]",4,دلال و مسند,دلال و مسند,معاصر,الهجيني,يك,/images/poems/100_Drive_New_Thumbnail_view.jpg,"ياطول ليلي ما بين دلالي و مسندي      مشتاقه يديني الثنتين ضمه يديك
تعال باموت في يدك وانت موت ف يدي      الموت لذه ما دام الموت منك وفيك
غلاك مهره في ميدان الملوك تعدي      تهز عرش الملوك ويهتويها المليك
يا سيد العشق لا يطول الهجر يابعدي      تري عيوني من اللهفه تسلم عليك","ياطـول ليـلي ما بيـن دلالـي و مـسـندي      مشـتاقه يْـديني الثـنـتـين ضمّـة يـديك
تعال باموت في يدك وانت موت ف يدي      الموت لـذّه ما دام الموت منـّـك وفيك
غـلاك مهـره في ميـدان الملـوك تعـدي      تهز عـرش الملوك ويهـتويها المليك
يا سيّد العـشق لا يطول الهجـر يابعـدي      ترى عـيوني من اللهـفه تسلـّم عليك","[{""resolved_from"": ""ميدان الملوك"", ""name"": ""أماكن مجردة""}]","[{""name"": ""الله""}]","[{""name"": ""الحصان"", ""category"": ""حصان"", ""resolved_from"": [""مهره""]}]",[],"[{""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""يديك""]}, {""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""مشتاقه يديني""]}]","[""شوق"", ""حب""]","[""الشوق والحنين"", ""الذكريات"", ""الحب والغزل"", ""الوفاء والصبر"", ""المجد والعز"", ""الفراق والهجر""]",يمضي الليل بين دلعه ومسنده ويتوق لاحتضان الحبيب يرغب في الموت بين يدي الحبيب ويجد اللذة في هذا الموت محبة الحبيب قوية وذات تأثير يعادل ملوك العرش يناشد الحبيب أن لا يطيل الهجر ويخبره بعينيه المليئتين بالشوق,"يمضي الليل بين دلعه ومسنده ويتوق لاحتضان الحبيب يرغب في الموت بين يدي الحبيب ويجد اللذة في هذا الموت محبة الحبيب قوية وذات تأثير يعادل ملوك العرش يناشد الحبيب أن لا يطيل الهجر ويخبره بعينيه المليئتين بالشوق | Mood: شوق, حب | Animals: الحصان | Location: أماكن مجردة | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
101,"[1370, 1371, 1372, 1373]",4,دموع المحبين,دمـوع الـمـحـبّـين,معاصر,الهجيني,ير,/images/poems/101_Drive_New_Thumbnail_view.jpg,"منابع دموع المحبين عيني      تبكي علي نفسي وتبكي علي الغير
وعن الغلا يا ساريه خبريني      هل عاد له في قلوب الاحباب تاثير
قلب الفراق اللي غدي له حنيني      ضميان والقصه ماهي جمه البير
لكنها شوق يدفه ضنيني      يالله عساها ما تطول المشاوير","مـنابـع دمـوع المحـبّـيـن عـيني      تبكي على نفسي وتبكي على الغير
وعـن الغـلا يا ساريـه خبّـريني      هل عاد له في قلوب الاحباب تأثـير
قلب الفراق اللي غدى له حنيني      ضـمـيان والقِصّه ماهي جمّة البير
لكـنـّها شـوقٍ يـدفــّـه ضـنـيـني      يالله عـساها ما تـطـول المـشـاوير","[{""resolved_from"": ""البير"", ""name"": ""مواقع نبطية""}, {""resolved_from"": ""المشاوير"", ""name"": ""أماكن مجردة""}]","[{""name"": ""الله""}]",[],[],"[{""name"": ""الشاعر"", ""relation"": ""الذات"", ""resolved_from"": [""نفسي""]}, {""name"": ""الحبيب"", ""relation"": ""المحبوب"", ""resolved_from"": [""المحبين""]}]","[""حب"", ""شوق"", ""أمل""]","[""الحب والغزل"", ""الألم والحزن"", ""الشوق والحنين"", ""الفراق والهجر""]",العين تبكي حزناً على الذات والآخرين من دموع المحبين السؤال عن تأثير الغلا في قلوب الأحباب بعد الفراق قلب الفراق يشعل الحنين رغم الألم المستمر الشوق يدفع بالأمل وأمنية قصر المسافات والغياب,"العين تبكي حزناً على الذات والآخرين من دموع المحبين السؤال عن تأثير الغلا في قلوب الأحباب بعد الفراق قلب الفراق يشعل الحنين رغم الألم المستمر الشوق يدفع بالأمل وأمنية قصر المسافات والغياب | Mood: حب, شوق, أمل | Location: مواقع نبطية, أماكن مجردة | Style: Arabic Nabati Poetry Visualization, Cinematic, High Detail"
