poem_id,Row_ID,Title_raw,Poem_line_raw,summary,Title_cleaned,Poem_line_cleaned,قافية,روي,البحر,وصل,حركة,شخص,sentiments,أحداث,دين,مواضيع,أماكن,تصنيف
1,1,لا تسال مجرب,أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة.,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""وصلك""]}]",غضب,[],[],"[""الحب والغزل"", ""الغيرة والعتاب""]",[],معاصر
1,2,لا تسال مجرب,لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب,لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه.,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبك""]}]",حزن,[],[],"الحب والغزل, الألم والحزن",[],معاصر
1,3,لا تسال مجرب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد.,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"":""حبيبتي"",""relation"":""المحبوبة"",""resolved_from"":[""حبيبتي"",""حبك""]}]",حب,[],[],"الحب والغزل, الشوق والحنين",[],معاصر
1,4,لا تسال مجرب,تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""وصلك""]}]",حب,[],[],"الألم والحزن, الشوق والحنين",[],معاصر
1,5,لا تسال مجرب,شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب,ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,رب,ب,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبك"",""غلاك""]}]",حب,[],[],"الحب والغزل, الشوق والحنين",[],معاصر
1,6,لا تسال مجرب,يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم.,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,رب,ب,الهجيني,لا يوجد,فتحة,[],فخر,[],[],"التراث النبطي, الغيرة والعتاب",[],معاصر
2,7,ثلاث مرات,عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي      سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل,يلوم الشاعر هجر محبوبته الذي دمر عشرة العمر الطويلة، مفسدًا كل شيء.,ثلاث مرات,عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""المشتاق""]},{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""الوصل""]}]",شوق,[],[],"الشوق والحنين, الفراق والهجر",[],معاصر
2,8,ثلاث مرات,ثـــلاث مـرّات .. وانـت تـدوّر فـراقي      وثــلاث مـرّات .. وانـا اقـول لا ترحــل,يعاتب الشاعر محبوبته التي تسعى للفراق بينما هو يتوسل للبقاء.,ثلاث مرات,ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""انت""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""انا""]}]",حزن,[],[],"الفراق والهجر, الشوق والحنين",[],معاصر
2,9,ثلاث مرات,وشلون ترحل وحبّك وسـط الاعـماقي      وانـا نـويت الرحـيل ، وما قدرت أرحـل,يتساءل كيف تستطيع محبوبته الرحيل بينما حبهما متجذر فيه، وهو عاجز عن المغادرة.,ثلاث مرات,وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""حبك"",""ترحل""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""الاعماقي"",""انا""]}]",حزن,[],[],"الحب والغزل, الشوق والحنين",[],معاصر
2,10,ثلاث مرات,الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي      بيـني وبينك أشوف الوضع مسـتفـحل,يرى الشاعر أن المودة تلاشت والوضع بينهما صار متفاقمًا وصعبًا.,ثلاث مرات,الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل,حل,ل,الهجيني,لا يوجد,فتحة,"[{""name"":""الحبيب"",""relation"":""المحبوب"",""resolved_from"":[""بينك""]},{""name"":""الشاعر"",""relation"":""المتحدث"",""resolved_from"":[""بيني""]}]",حب,[],[],"الفراق والهجر, الألم والحزن",[],معاصر
