poem_id,Title_cleaned,Poem_line_cleaned
1,لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب"
2,ثلاث مرات,"ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل
عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل
عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل
ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل
اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل"
3,هواء الامارات وثراها,"صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها
اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها
والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها
الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها
هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها
والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها
هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها
غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها
مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها
المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها"
4,يتيم,"يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني
ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني
تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني
قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني
يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني
كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني
دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني
يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني
كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني
وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟"
5,مرت علي بالي,"حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت
جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت
وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت
تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت
في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت
احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت
الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت
الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت
تبغي حبيبه قلبي الغاليه دوم      تمر في بالي ، واوقف لا مرت"
6,لا تلبس ذهب,"انته ذهب من دون ما تلبس ذهب      وش له تروح السوق وتدور عليه
سبحان من سوا .. وجل من وهب      حلاك بيدينك كانك منتقيه
شفايفك جمره .. وثغرك من لهب      خايف علي خدك لهب ثغرك يجيه
لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه
لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه
انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه
تدري وش يخلي جروحي تلتهب ؟      اني اخلي شي .. وانا مشتهيه"
7,لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب
ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب
لا تسال مجرب يا قلب وتعاني      اسال طبيب و خل عنك المجرب"
8,قصر زعبيل,"للشعر فكره وللهاجس ميه طاري      ترز للقمه العليا بيارقها
وقصيدتي من حصيله ناتج افكاري      كل القصايد الي من جات تفرقها
لو ابغي اغرق الساحه بابحاري      غرقتها بس انا ما احب اغرقها
ارسم ملامح طموحاتي في اشعاري      واحاول اني قبل ما اموت احققها
واعرف مقدار غيري قبل مقداري      واخطاء نفسي علي غيري ما اعلقها
لكن مشوار عمري لي متي ساري      ارهقت نفسي وما ادري ليه مرهقها
قدام تتعب قدم رجلي يا مشواري      الايام ساعاتها تشرح دقايقها
مراحل العمر تجري والزمن جاري      والناس تفني ويبقي وجه خالقها
وانا طموحي تخلد فعلي اخباري      ف ارشيف تاريخ الافعال ووثايقها
نجاحي لشخصي اعداءه يا انصاري      اكيد منطقه ما يشبه لمنطقها
من يامر بستر خلق الله وهو عاري      نصيحته من علي نفسه يطبقها
من كثر ما اخاطب العالم بمعياري      دايم اميز لكاذبها وصادقها
صحيح انا ما معي جنه ولا ناري      لكن ربي خلق خلقه وفرقها
من شرفه القصر اناظر خلف الاسواري      وجيه ناس عسي ربي يوفقها
ويزيد عزمي بفعل الخير واصراري      في خدمه بلاد برق العز بارقها
والطيب قصه وفيها معظم اسراري      والذل نار ونفوس الذل يحرقها
يا قصر ( زعبيل ) دامك بالحزن داري      لا تعلم ( دبي ) وتبكي مناطقها
الحزن اخوي الصغير وضيفي وجاري      في غربه الارض الوسيعه او مشارقها
مافي عيوني سوي دمعات تذكاري      لولا السحا من محاجر عيني اعتقها"
9,قلب السبع,"من جايع الوصل .. للي حبها شبعه      لا اطربني الشوق كيف اشبع من الطربه
حر الهوي لو يلومه في الهوي تبعه      ما شاف مخلابه اللي مدمي خربه
من حصل اللي خذا قلبي وانا تبعه      قلبي علي دربها ، وانا علي دربه
غزاله الوادي اللي جرحت سبعه      من شرق قلب السبع تختال لا غربه
خذت من القلب ثلث الشوق او ربعه      بالنظره الواثقه ، والهرجه الذربه
والكره .. مثل السحابه في شهر سبعه      ما تنبت العشب ولا تسقي التربه
والحب .. نهر مصبه فاض من نبعه      شوفه يكفيك يالظميان عن شربه
والوصل .. مثل الشجاع الشهم في ربعه      ما يرهب السيف ولا يرهب الحربه
والهجر .. مثل الذليل اللي فشل طبعه      من ذله .. الناس محد يطمع ف قربه"
10,شعب الامارات,"مداخيل الشعر وايد ، وانا شاعر ولي مدخال      ولكن المخارج ما هي تشابه مداخلها
وانا بين المخارج والمداخل يوم طاب الفال      جبرت اخر بيوت المفردات ينافس اولها
سبحت من الشعر بحر وملكت من البيوت جزال      وهي ماهي بمهنه ، لكن افكاري تداولها
من اغلي الامنيات اللي من القلب وتمر البال      صنعت اغلي البيوت اللي تبيض وجه قايلها
اغذيها باحاسيس لها في خافقي مدهال      لها كفي مطيعه يوم تكتبها اناملها
لو ان افكار شعري خيل ، ما تلقي لها خيال      سوي فكري تحلق في الفضا يوم اتخيلها
علي الدوله وريسها (خليفه ) قايد الابطال      هماليل السحاب اللي غصون الارض بللها
ابارك له في شهر نزل القران فيه انزال      يضم من الليالي ليله القدر وفضايلها
ارددها علي الاطلال .. وتردد معي الاطلال      يالين اسمع صداها والمخاليق تناقلها
لو ان دله هل الامجاد ما معها سوي فنيال      تري الفنيال في راحه يمينه يا مهيلها
في كل بلاد له كلمه ، والي من قال قال وطال      يطول جبال الارض وكف ابو سلطان اطولها
مع شعب العروبه موقفه تفخر به الاجيال      والي من مالت احوال العرب وقف وعدلها
ولابو راشد من المجد التليد العز والاجلال      ومن الالقاب اشرف ما حوت الالقاب وانبلها
(صلاح الدين ) فخر للعروبه يا هل الامثال      وابو راشد (صلاح الدين) لاهل الارض باكملها
و (ابو خالد ) صنع دوله بهمته وتحته رجال      الي قالت ، تبرهن قولها صادق فعايلها
سلايله المكارم ، والفخر لا من ذكره اختال      وعريبين السلايل تفتخر فيها سلايلها
لو ان للطيب رجل يمثله بو خالد الرجال      يمثله ، وشيوخ الدار لو وقف يمثلها
وجبال الارض لو نقدر نسوي منها تمثال      لابو خالد ، نحتناها من اخرها الي اولها
علي الهامات له هامه وعلي حد السحب تختال      صعيبات المشاكل كل ما جاته يذللها
وعسي شعب الامارات العزيزه دوم ف احسن حال      عسي دعواتهم ربي في شهر الخير يقبلها"
