Title,Singer,Date,DetailURL,YouTube
اميره قلوب الاتقياء,المجموعة,2025,https://www.wneen.com/lyrics/40979,https://www.youtube.com/watch?v=2O32UPkAVTw
دمع العظيم,ميحد حمد,2025,https://www.wneen.com/lyrics/40175,https://www.youtube.com/watch?v=2gcwIo3iB1c
جسر الصداقة,الوسمي,2016,https://www.wneen.com/lyrics/39738,https://www.youtube.com/watch?v=4ipBiQSkVxA
كن واقعي,محمد عبده,2025,https://www.wneen.com/lyrics/39455,https://www.youtube.com/watch?v=_-kHBDwCoOc
فخر الاجيال,حسين الجسمي,2025,https://www.wneen.com/lyrics/38979,https://www.youtube.com/watch?v=pR10xYrVLsg
شاعر ارتجالي ( يامرحبا ),راشد الماجد,0,https://www.wneen.com/lyrics/37122,https://www.youtube.com/watch?v=uDNHyKTaVLI
في خاطرك حاجة ( وش فيه بالك ),راشد الماجد,0,https://www.wneen.com/lyrics/37121,https://www.youtube.com/watch?v=Ecv7VumOhbo
شف للغلا ( غياب ),راشد الماجد,0,https://www.wneen.com/lyrics/37120,https://www.youtube.com/watch?v=K-VZL0OE_X4
برج عاجي ( في حضورك ),راشد الماجد,0,https://www.wneen.com/lyrics/37119,https://www.youtube.com/watch?v=req6w_B_lYg
منك العذر,راشد الماجد,2006,https://www.wneen.com/lyrics/37105,https://www.youtube.com/watch?v=kE-Zy77MZLM
فارس الدار,عبدالمجيد عبدالله,2024,https://www.wneen.com/lyrics/35724,https://www.youtube.com/watch?v=7SnOQfUu7H4
القلب شال الحب ( مدخل غرامي ),راشد الماجد,0,https://www.wneen.com/lyrics/33737,https://www.youtube.com/watch?v=X0etTtWvWbQ
الصاحب المعني,اصاله نصري و ميحد حمد,0,https://www.wneen.com/lyrics/33435,https://www.youtube.com/watch?v=asGi6gPU0Nw
ترنيمة,حسين الجسمي و ميحد حمد,0,https://www.wneen.com/lyrics/33432,https://www.youtube.com/watch?v=esFz-FZr5QY
طيب القلب,ميحد حمد,0,https://www.wneen.com/lyrics/33431,https://www.youtube.com/watch?v=FXqrO3iu2lk
حمايم,ميحد حمد,0,https://www.wneen.com/lyrics/33430,https://www.youtube.com/watch?v=Ycc55bLsfGw
بركان الغلا,ميحد حمد,0,https://www.wneen.com/lyrics/33429,https://www.youtube.com/watch?v=zPCfjf23p7s
بعيد تاركني,ميحد حمد,0,https://www.wneen.com/lyrics/33428,https://www.youtube.com/watch?v=HNU9FwE4jlY
لبيه,ميحد حمد,0,https://www.wneen.com/lyrics/33427,https://www.youtube.com/watch?v=MHzwkSDaGYM
انا انا,ميحد حمد,0,https://www.wneen.com/lyrics/33426,https://www.youtube.com/watch?v=Z34o6SLRqD4
عاشق الشعر,ميحد حمد,0,https://www.wneen.com/lyrics/33425,https://www.youtube.com/watch?v=PclgUb0Az-0
