poem_id,Row_ID,Title_raw,Poem_line_raw,Title_cleaned,Poem_line_cleaned,full_poem,line,qafiya,bahr
1,1,لا تسـأل مجـرّب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,,,,
1,2,لا تسـأل مجـرّب,أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,,,,
1,3,لا تسـأل مجـرّب,لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,,,,
1,4,لا تسـأل مجـرّب,تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,,,,
1,5,لا تسـأل مجـرّب,يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,,,,
1,6,لا تسـأل مجـرّب,شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,,,,
2,7,ثــلاث مـرّات,ثـــلاث مـرّات .. وانـت تـدوّر فـراقي      وثــلاث مـرّات .. وانـا اقـول لا ترحــل,ثلاث مرات,ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل,,,,
2,8,ثــلاث مـرّات,الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي      بيـني وبينك أشوف الوضع مسـتفـحل,ثلاث مرات,الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل,,,,
2,9,ثــلاث مـرّات,عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي      سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل,ثلاث مرات,عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل,,,,
2,10,ثــلاث مـرّات,عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل,ثلاث مرات,عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل,,,,
2,11,ثــلاث مـرّات,ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي      بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,ثلاث مرات,ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل,,,,
2,12,ثــلاث مـرّات,بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل,ثلاث مرات,بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل,,,,
2,13,ثــلاث مـرّات,وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل,ثلاث مرات,وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل,,,,
2,14,ثــلاث مـرّات,أصـعب سؤال فْـ حياة العاشق الشاقي      إللي طـرحتـه علـيك وما لـقـيت الحـل,ثلاث مرات,اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل,,,,
2,15,ثــلاث مـرّات,وشلون ترحل وحبّك وسـط الاعـماقي      وانـا نـويت الرحـيل ، وما قدرت أرحـل,ثلاث مرات,وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل,,,,
3,16,هواء الإمارات وثراها,صاحبي يافاهمٍ قصدي ترى ما كل ديره      آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,هواء الامارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها,,,,
3,17,هواء الإمارات وثراها,إتأسر قلبي لو ان نفسي في راحتها أسيره      كم بلاد يمرّها قلبي واذا سافر نساها,هواء الامارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها,,,,
3,18,هواء الإمارات وثراها,خذ مَثَل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,هواء الامارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها,,,,
3,19,هواء الإمارات وثراها,والله انها أوّل احباب المشاعر والأخيره      يا عساني فدوة اوّلها وفدوة منتهاها,هواء الامارات وثراها,والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها,,,,
3,20,هواء الإمارات وثراها,ألله اكبر يالسنين العوج والشرهه كبيره      شرهة العاقل على عوج السنين اللي مداها,هواء الامارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها,,,,
3,21,هواء الإمارات وثراها,كل ما طالت ما نامن شرّها والطول خيره      إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,هواء الامارات وثراها,كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها,,,,
3,22,هواء الإمارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الـظــروف الكـايـده تردّها عن مـشـتـهاها,هواء الامارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها,,,,
3,23,هواء الإمارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لـذّةٍ للـشــــــاربـيـن ، ومـتـعــةٍ لـمـن رآهـــا,هواء الامارات وثراها,مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها,,,,
3,24,هواء الإمارات وثراها,هكذا الإنسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايّامه وتبحث وش وراها,هواء الامارات وثراها,هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها,,,,
3,25,هواء الإمارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,هواء الامارات وثراها,ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها,,,,
3,26,هواء الإمارات وثراها,يحسب ان المجد فجأه ما درى ان المجد سيره      سـيرةٍ ما تـنتهي دام الكـواكب فـي سـماها,هواء الامارات وثراها,يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها,,,,
3,27,هواء الإمارات وثراها,والـقدر على وتيـره .. والعـمر على وتيـره      والثـنين لبعـضـهم يمـشون والدنيا عطاها,هواء الامارات وثراها,والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها,,,,
3,28,هواء الإمارات وثراها,ماهو بْـورثٍ تحكّـم فـيه عمـيان البصـيره      كان ما مدّيتها بالجـهد ما نـالك رضاها,هواء الامارات وثراها,ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها,,,,
