ROW_ID,poem_ID,Poem_line_Raw,Title_Raw,Poem_line_cleaned,Title_cleaned
1,1,حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,حبيبتي حالي من الشوق داني,لا تسال مجرب
2,1,أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسـأل مجـرّب,اشرق بحبك .. واعود اغرب,لا تسال مجرب
3,1,,لا تسـأل مجـرّب,,لا تسال مجرب
4,1,أنـانـي فْـ وصـلك لـكـن يالأنـاني,لا تسـأل مجـرّب,اناني ف وصلك لكن يالاناني,لا تسال مجرب
5,1,تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسـأل مجـرّب,تري الانانيه ف طبعك تخرب,لا تسال مجرب
6,1,,لا تسـأل مجـرّب,,لا تسال مجرب
7,1,لحظات حبّـك حطّـمت لي كـياني,لا تسـأل مجـرّب,لحظات حبك حطمت لي كياني,لا تسال مجرب
8,1,والحزن من بين الـمحـاني تـسـرّب,لا تسـأل مجـرّب,والحزن من بين المحاني تسرب,لا تسال مجرب
9,1,,لا تسـأل مجـرّب,,لا تسال مجرب
10,1,تـسـرّب وصـكّـت عـلـيه الـمـحاني,لا تسـأل مجـرّب,تسرب وصكت عليه المحاني,لا تسال مجرب
11,1,كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسـأل مجـرّب,كنه لوصلك بالجروح يتقرب,لا تسال مجرب
12,1,,لا تسـأل مجـرّب,,لا تسال مجرب
13,1,يا مْعـرّب الأنـسـاب خـدر العـياني,لا تسـأل مجـرّب,يا معرب الانساب خدر العياني,لا تسال مجرب
14,1,سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسـأل مجـرّب,سلم العرب لا تجهله يالمعرب,لا تسال مجرب
15,1,,لا تسـأل مجـرّب,,لا تسال مجرب
16,1,شـربت حـبّـك لين فـاض الحناني,لا تسـأل مجـرّب,شربت حبك لين فاض الحناني,لا تسال مجرب
17,1,وقامـت عروقي من غـلاك تْـشـرّب,لا تسـأل مجـرّب,وقامت عروقي من غلاك تشرب,لا تسال مجرب
18,1,,لا تسـأل مجـرّب,,لا تسال مجرب
20,2,ثـــلاث مـرّات .. وانـت تـدوّر فـراقي,ثــلاث مـرّات,ثلاث مرات .. وانت تدور فراقي,ثلاث مرات
21,2,وثــلاث مـرّات .. وانـا اقـول لا ترحــل,ثــلاث مـرّات,وثلاث مرات .. وانا اقول لا ترحل,ثلاث مرات
22,2,,ثــلاث مـرّات,,ثلاث مرات
23,2,الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي,ثــلاث مـرّات,الظاهر ان الغلا ما عاد له باقي,ثلاث مرات
24,2,بيـني وبينك أشوف الوضع مسـتفـحل,ثــلاث مـرّات,بيني وبينك اشوف الوضع مستفحل,ثلاث مرات
25,2,,ثــلاث مـرّات,,ثلاث مرات
26,2,عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي,ثــلاث مـرّات,عشره زمن تجبر المشتاق يشتاقي,ثلاث مرات
27,2,سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل,ثــلاث مـرّات,سحلتها بالهجر ، والوصل ما يسحل,ثلاث مرات
28,2,,ثــلاث مـرّات,,ثلاث مرات
29,2,عليك صــابر ، وهذي قيـمـة اخــلاقي,ثــلاث مـرّات,عليك صابر ، وهذي قيمه اخلاقي,ثلاث مرات
30,2,لأن أرض الوفــــا دون الـوفـا تـمـحــــل,ثــلاث مـرّات,لان ارض الوفا دون الوفا تمحل,ثلاث مرات
31,2,,ثــلاث مـرّات,,ثلاث مرات
32,2,ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي,ثــلاث مـرّات,ولانك الغالي اللي حرك اشواقي,ثلاث مرات
33,2,بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,ثــلاث مـرّات,بمكحلات العيون اللي بلا مكحل,ثلاث مرات
34,2,,ثــلاث مـرّات,,ثلاث مرات
35,2,بالرقّـه .. انت الأرَق ، وذوقك الراقي,ثــلاث مـرّات,بالرقه .. انت الارق ، وذوقك الراقي,ثلاث مرات
36,2,وبين الخصور النواحل خصرك الأنحل,ثــلاث مـرّات,وبين الخصور النواحل خصرك الانحل,ثلاث مرات
37,2,,ثــلاث مـرّات,,ثلاث مرات
38,2,وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي,ثــلاث مـرّات,وقلوب عشاقك اللي كثر عشاقي,ثلاث مرات
39,2,عيونـهـم نحـل ، لان شـفاتـك الـمنحل,ثــلاث مـرّات,عيونهم نحل ، لان شفاتك المنحل,ثلاث مرات
40,2,,ثــلاث مـرّات,,ثلاث مرات
41,2,أصـعب سؤال فْـ حياة العاشق الشاقي,ثــلاث مـرّات,اصعب سءال ف حياه العاشق الشاقي,ثلاث مرات
42,2,إللي طـرحتـه علـيك وما لـقـيت الحـل,ثــلاث مـرّات,اللي طرحته عليك وما لقيت الحل,ثلاث مرات
43,2,,ثــلاث مـرّات,,ثلاث مرات
44,2,وشلون ترحل وحبّك وسـط الاعـماقي,ثــلاث مـرّات,وشلون ترحل وحبك وسط الاعماقي,ثلاث مرات
45,2,وانـا نـويت الرحـيل ، وما قدرت أرحـل,ثــلاث مـرّات,وانا نويت الرحيل ، وما قدرت ارحل,ثلاث مرات
46,2,,ثــلاث مـرّات,,ثلاث مرات
48,3,صاحبي يافاهمٍ قصدي ترى ما كل ديره,هواء الإمارات وثراها,صاحبي يافاهم قصدي تري ما كل ديره,هواء الامارات وثراها
49,3,آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,هواء الإمارات وثراها,اتمشي في حدايقها وينعشني هواها,هواء الامارات وثراها
50,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
51,3,إتأسر قلبي لو ان نفسي في راحتها أسيره,هواء الإمارات وثراها,اتاسر قلبي لو ان نفسي في راحتها اسيره,هواء الامارات وثراها
52,3,كم بلاد يمرّها قلبي واذا سافر نساها,هواء الإمارات وثراها,كم بلاد يمرها قلبي واذا سافر نساها,هواء الامارات وثراها
53,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
54,3,خذ مَثَل هواء لندن لا خلط مسكه عبيره,هواء الإمارات وثراها,خذ مثل هواء لندن لا خلط مسكه عبيره,هواء الامارات وثراها
55,3,لو هواء بلاد زايد ماهو يشابه هواها,هواء الإمارات وثراها,لو هواء بلاد زايد ماهو يشابه هواها,هواء الامارات وثراها
56,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
57,3,والله انها أوّل احباب المشاعر والأخيره,هواء الإمارات وثراها,والله انها اول احباب المشاعر والاخيره,هواء الامارات وثراها
58,3,يا عساني فدوة اوّلها وفدوة منتهاها,هواء الإمارات وثراها,يا عساني فدوه اولها وفدوه منتهاها,هواء الامارات وثراها
59,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
60,3,ألله اكبر يالسنين العوج والشرهه كبيره,هواء الإمارات وثراها,الله اكبر يالسنين العوج والشرهه كبيره,هواء الامارات وثراها
61,3,شرهة العاقل على عوج السنين اللي مداها,هواء الإمارات وثراها,شرهه العاقل علي عوج السنين اللي مداها,هواء الامارات وثراها
62,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
63,3,كل ما طالت ما نامن شرّها والطول خيره,هواء الإمارات وثراها,كل ما طالت ما نامن شرها والطول خيره,هواء الامارات وثراها
64,3,إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,هواء الإمارات وثراها,انما للخالدين اللي مخلدها نباها,هواء الامارات وثراها
65,3,,هواء الإمارات وثراها,,هواء الامارات وثراها
66,3,والقلوب اللي مشاعرها مع العالم غفيره,هواء الإمارات وثراها,والقلوب اللي مشاعرها مع العالم غفيره,هواء الامارات وثراها
