"ID"	"poem_title"	"content"	"Poem-contexted"	"people"	"places"	"objects"	"sentiments"	"Metadata"
"1"	"لا تسأل مجرّب"	"حبيبتي حالي من الشوق داني    أشرق بحبك .. واعود أغرب
أناني ف وصلك لكن يالأناني    ترى الأنانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني    والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب"	"المتحدث يعبر عن شوقه لحبيبته، واصفا إياه بالأنانية التي تضر بالعلاقة. حب الحبيبة حطم كيانه وأغرق قلبه بالحزن.
-----
حبيبتي حالي من الشوق داني    أشرق بحبك .. واعود أغرب
أناني ف وصلك لكن يالأناني    ترى الأنانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني    والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب"	"""حبيبيتي"""	"[]"	"[""الشوق"",""حبك"",""أناني"",""وصلك"",""لحظات"",""حزن"",""محاني"",""حاني"",""وجروح""]"	"Longing, Sadness"	""
"1"	"لا تسأل مجرّب"	"تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب
يا معرب الأنساب خدر العياني    سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني    وقامت عروقي من غلاك تشرب"	"يتحدث الشاعر عن ألم الحب الذي يتسرب إليه، ويخاطب شخصا معرب الأنساب (أصيل النسب) الذي يعرفه، متسائلا عن هويته. يشرب الشاعر الحب حتى فاضت مشاعره.
-----
تسرب وصكت عليه المحاني    كنه لوصلك بالجروح يتقرب
يا معرب الأنساب خدر العياني    سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني    وقامت عروقي من غلاك تشرب"	"[""المحاني"",""المعرب""]"	"[]"	"[""المحاني"",""الأنساب"",""العرب"",""الحناني"",""العروق"",""الغلاك""]"	"Love, admiration"	""
"2"	"ثلاث مرّات"	"ثلاث مرات .. وانت تدور فراقي    وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي    بيني وبينك أشوف الوضع مستفحل
عشرة زمن تجبر المشتاق يشتاقي    سحلتها بالهجر، والوصل ما يسحل
عليك صابر، وهذي قيمة اخلاقي    لأن أرض الوفا دون الوفا تمحل"	"يكرر المتحدث محاولاته لمنع رحيل شخص ما ثلاث مرات، لكن يبدو أن العلاقة تدهورت. يشير إلى أن العشرة الطويلة لا تكفي، وأن الهجر قد أثر على الوصل. يعتبر صبره على ذلك من أخلاقه، حيث أن الوفاء ضروري للأرض.
-----
ثلاث مرات .. وانت تدور فراقي    وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي    بيني وبينك أشوف الوضع مستفحل
عشرة زمن تجبر المشتاق يشتاقي    سحلتها بالهجر، والوصل ما يسحل
عليك صابر، وهذي قيمة اخلاقي    لأن أرض الوفا دون الوفا تمحل"	"[""صابر""]"	"[]"	"[""ثلاث مرات"",""فراقي"",""ترحل"",""الغلا"",""الوضع"",""عشرة زمن"",""المشتاق"",""الهجر"",""الوصل"",""أرض الوفا"",""الوفا""]"	"Sadness, longing."	""
"2"	"ثلاث مرّات"	"عليك صابر، وهذي قيمة اخلاقي    لأن أرض الوفا دون الوفا تمحل
ولأنك الغالي اللي حرك اشواقي    بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الأرق، وذوقك الراقي    وبين الخصور النواحل خصرك الأنحل
وقلوب عشاقك اللي كثر عشاقي    عيونهم نحل، لان شفاتك المنحل"	"يخاطب الشاعر شخصا عزيزا، يعبر عن وفائه بقيم أخلاقه. يصفه بالغالي الذي أثار أشواقه، ويشبهه بالرقة والذوق الراقي. يقارن خصره بخصور أخريات، ويصف عيون عشاقه بالنحل عندما يرون فمه.
-----
عليك صابر، وهذي قيمة اخلاقي    لأن أرض الوفا دون الوفا تمحل
ولأنك الغالي اللي حرك اشواقي    بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الأرق، وذوقك الراقي    وبين الخصور النواحل خصرك الأنحل
وقلوب عشاقك اللي كثر عشاقي    عيونهم نحل، لان شفاتك المنحل"	"[]"	"[]"	"[]"	"Love"	""
"2"	"ثلاث مرّات"	"وقلوب عشاقك اللي كثر عشاقي    عيونهم نحل، لان شفاتك المنحل
أصعب سؤال ف حياة العاشق الشاقي    إللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي    وانا نويت الرحيل، وما قدرت أرحل"	"قلوب العشاق تشبه النحل لرؤية الشفاه. سؤال العاشق الصعب هو كيف يرحل الحبيب وهو في الأعماق، بينما أراد هو الرحيل فلم يستطع.
-----
وقلوب عشاقك اللي كثر عشاقي    عيونهم نحل، لان شفاتك المنحل
أصعب سؤال ف حياة العاشق الشاقي    إللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي    وانا نويت الرحيل، وما قدرت أرحل"	"[]"	"[]"	"[""قلوب العشاق"",""عشاقك"",""عيونهم"",""شفتاك"",""سؤال"",""حياة العاشق"",""حبك"",""اعماق"",""رحيل""]"	"Longing, Sadness"	""
"3"	"هواء الإمارات وثراها"	"صاحبي يافاهم قصدي ترى ما كل ديره    آتمشى في حدايقها وينعشني هواها
إتأسر قلبي لو ان نفسي في راحتها أسيره    كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره    لو هواء بلاد زايد ماهو يشابه هواها
والله انها أول احباب المشاعر والأخيره    يا عساني فدوة اولها وفدوة منتهاها"	"الصديق يوجه كلامه لصاحبه، مفضلا يافا على غيرها من المدن، حيث تجذب روحه رغم أن نفسه قد تكون أسيرة راحتها. يصفها بأنها الأولو والأخيرة في مشاعره.
-----
صاحبي يافاهم قصدي ترى ما كل ديره    آتمشى في حدايقها وينعشني هواها
إتأسر قلبي لو ان نفسي في راحتها أسيره    كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره    لو هواء بلاد زايد ماهو يشابه هواها
والله انها أول احباب المشاعر والأخيره    يا عساني فدوة اولها وفدوة منتهاها"	"[""زايد""]"	"[""يافا"",""لندن"",""بلاد زايد""]"	"[""قصدي"",""ديره"",""حدايق"",""هواها"",""قلبي"",""نفسي"",""راحتها"",""بلاد"",""هواء"",""عبيره"",""هواء بلاد زايد"",""المشاعر"",""الأخيره"",""أولها"",""منتهاها""]"	"Love"	""
"3"	"هواء الإمارات وثراها"	"والله انها أول احباب المشاعر والأخيره    يا عساني فدوة اولها وفدوة منتهاها
ألله اكبر يالسنين العوج والشرهه كبيره    شرهة العاقل على عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره    إنما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره    الظروف الكايده تردها عن مشتهاها"	"الأحباب هم أول وآخر مشاعر المتحدث، ويتمنى فداء لهم. يشكو المتحدث الأيام السيئة، التي يخشاها. القلوب التي تخالط مشاعرها الآخرين تردها الظروف الصعبة عن تحقيق مبتغاها.
-----
والله انها أول احباب المشاعر والأخيره    يا عساني فدوة اولها وفدوة منتهاها
ألله اكبر يالسنين العوج والشرهه كبيره    شرهة العاقل على عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره    إنما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره    الظروف الكايده تردها عن مشتهاها"	"[]"	"[]"	"[""أول المشاعر"",""أولها"",""منتهاها"",""السنين"",""الطول"",""الخالدين"",""مخلدها""]"	"Love, Admiration, Longing, Sadness"	""
"3"	"هواء الإمارات وثراها"	"والقلوب اللي مشاعرها مع العالم غفيره    الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره    لذة للشاربين، ومتعة لمن رآها
هكذا الإنسان عمره يوم حس ويوم غيره    لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره    يوم شاف امجاد غيره قال ياليته خذاها"	"الظروف الصعبة تعيق تحقيق أمنيات القلوب ذات المشاعر الكثيرة. تتشبه الأمنيات بالبحيرة الممتعة. حياة الإنسان متقلبة، وأيامه لا تترك سوى ذكريات. يشعر بالأسف لرؤية إنجازات الآخرين.
-----
والقلوب اللي مشاعرها مع العالم غفيره    الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره    لذة للشاربين، ومتعة لمن رآها
هكذا الإنسان عمره يوم حس ويوم غيره    لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره    يوم شاف امجاد غيره قال ياليته خذاها"	"[""الإنسان"",""الشاربين""]"	"[]"	"[""العالم"",""الظروف"",""البحيرة"",""الدنيا"",""الذة"",""المتعة"",""الإنسان"",""الأيام"",""الذكريات"",""المصير"",""الأمجاد""]"	"Sadness"	""
"3"	"هواء الإمارات وثراها"	"ما وراها غير باقي ذكرياته في مصيره    يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجأه ما درى ان المجد سيره    سيرة ما تنتهي دام الكواكب في سماها
والقدر على وتيره .. والعمر على وتيره    والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره    كان ما مديتها بالجهد ما نالك رضاها"	"شخص يسترجع ذكرياته ويندم على أمجاد الآخرين، معتبرا المجد مسيرة مستمرة. القدر والعمر يسيران معا، والمجد ليس ميراثا بل نتيجة للجهد والمثابرة.
-----
ما وراها غير باقي ذكرياته في مصيره    يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجأه ما درى ان المجد سيره    سيرة ما تنتهي دام الكواكب في سماها
والقدر على وتيره .. والعمر على وتيره    والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره    كان ما مديتها بالجهد ما نالك رضاها"	"[]"	"[]"	"[""ذكرياته"",""مصيره"",""امجاد"",""المجد"",""سيرة"",""الكواكب"",""سماها"",""القدر"",""وتيره"",""العمر"",""الدنيا"",""الرضا""]"	"Longing, Sadness"	""
"3"	"هواء الإمارات وثراها"	"ماهو بورث تحكم فيه عميان البصيره    كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره    كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره    شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره    شي يسمو بالنفوس لين يظهر محتواها"	"النص يعبر عن فكرة أن السعادة لا تشترى بالمال أو تأتي بالجهد الظاهري، بل هي شيء أسمى يرتبط بسمو النفوس. يشير إلى أن الحزن منتشر، وأن الأغنياء قد لا يجدونها رغم أموالهم.
-----
ماهو بورث تحكم فيه عميان البصيره    كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره    كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره    شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره    شي يسمو بالنفوس لين يظهر محتواها"	"[]"	"[""البصيره""]"	"[""بورث"",""رضاها"",""السعاده"",""سوق الاحزان"",""الحزن"",""المال"",""التاجر"",""النفوس"",""محتواها""]"	"Sadness"	""
