Row_number,"meta{qafiya:..., bahr:...}"
1,"meta{qafiya:ـب, bahr:مستطيل}"
2,"meta{qafiya:ـب, bahr:مستطيل}"
3,"meta{qafiya:ـل, bahr:منكوس}"
4,"meta{qafiya:ـل, bahr:منكوس}"
5,"meta{qafiya:ـل, bahr:منكوس}"
6,"meta{qafiya:ـها, bahr:متوسط}"
7,"meta{qafiya:ـها, bahr:متوسط}"
8,"meta{qafiya:ـها, bahr:متوسط}"
9,"meta{qafiya:ـها, bahr:متوسط}"
10,"meta{qafiya:ـها, bahr:متوسط}"
11,"meta{qafiya:ـها, bahr:متوسط}"
12,"meta{qafiya:ـها, bahr:متوسط}"
13,"meta{qafiya:ـني, bahr:متوسط}"
14,"meta{qafiya:ـني, bahr:متوسط}"
15,"meta{qafiya:ـني, bahr:متوسط}"
16,"meta{qafiya:ـني, bahr:متوسط}"
17,"meta{qafiya:ـت, bahr:متوسط}"
18,"meta{qafiya:ـت, bahr:متوسط}"
19,"meta{qafiya:ـت, bahr:متوسط}"
20,"meta{qafiya:ـت, bahr:متوسط}"
21,"meta{qafiya:ـهب, bahr:متوسط}"
22,"meta{qafiya:ـهب, bahr:متوسط}"
23,"meta{qafiya:ـهب, bahr:متوسط}"
24,"meta{qafiya:ـب, bahr:مستطيل}"
25,"meta{qafiya:ـب, bahr:مستطيل}"
26,"meta{qafiya:ـب, bahr:مستطيل}"
27,"meta{qafiya:ـقها, bahr:متوسط}"
28,"meta{qafiya:ـقها, bahr:متوسط}"
29,"meta{qafiya:ـقها, bahr:متوسط}"
30,"meta{qafiya:ـقها, bahr:متوسط}"
31,"meta{qafiya:ـقها, bahr:متوسط}"
32,"meta{qafiya:ـقها, bahr:متوسط}"
33,"meta{qafiya:ـقها, bahr:متوسط}"
34,"meta{qafiya:ـه, bahr:متوسط}"
35,"meta{qafiya:ـه, bahr:متوسط}"
36,"meta{qafiya:ـها, bahr:متوسط}"
37,"meta{qafiya:ـها, bahr:متوسط}"
38,"meta{qafiya:ـها, bahr:متوسط}"
39,"meta{qafiya:ـها, bahr:متوسط}"
40,"meta{qafiya:ـها, bahr:متوسط}"
41,"meta{qafiya:ـل, bahr:بسيط}"
42,"meta{qafiya:ـل, bahr:بسيط}"
43,"meta{qafiya:ـل, bahr:بسيط}"
44,"meta{qafiya:ـس, bahr:مسحوب}"
45,"meta{qafiya:ـس, bahr:مسحوب}"
46,"meta{qafiya:ـس, bahr:مسحوب}"
47,"meta{qafiya:ـس, bahr:مسحوب}"
48,"meta{qafiya:ـمح, bahr:مسحوب}"
49,"meta{qafiya:ـمح, bahr:مسحوب}"
50,"meta{qafiya:ـمح, bahr:مسحوب}"
51,"meta{qafiya:ـبها, bahr:مسحوب}"
52,"meta{qafiya:ـبها, bahr:مسحوب}"
53,"meta{qafiya:ـبها, bahr:مسحوب}"
54,"meta{qafiya:ـبها, bahr:مسحوب}"
55,"meta{qafiya:ـبها, bahr:مسحوب}"
56,"meta{qafiya:ـبها, bahr:مسحوب}"
57,"meta{qafiya:ـبها, bahr:مسحوب}"
58,"meta{qafiya:ـاتها, bahr:مسحوب}"
59,"meta{qafiya:ـاتها, bahr:مسحوب}"
60,"meta{qafiya:ـاتها, bahr:مسحوب}"
61,"meta{qafiya:ـاتها, bahr:مسحوب}"
62,"meta{qafiya:ـاتها, bahr:مسحوب}"
63,"meta{qafiya:ـاتها, bahr:مسحوب}"
64,"meta{qafiya:ـلها, bahr:مسحوب}"
65,"meta{qafiya:ـلها, bahr:مسحوب}"
66,"meta{qafiya:ـلها, bahr:مسحوب}"
67,"meta{qafiya:ـلها, bahr:مسحوب}"
68,"meta{qafiya:ـلها, bahr:مسحوب}"
69,"meta{qafiya:ـلها, bahr:مسحوب}"
70,"meta{qafiya:ـلها, bahr:مسحوب}"
71,"meta{qafiya:ـوسه, bahr:مسحوب}"
72,"meta{qafiya:ـوسه, bahr:مسحوب}"
73,"meta{qafiya:ـوسه, bahr:مسحوب}"
74,"meta{qafiya:ـوسه, bahr:مسحوب}"
75,"meta{qafiya:ـوسه, bahr:مسحوب}"
76,"meta{qafiya:ـوسه, bahr:مسحوب}"
77,"meta{qafiya:ـوسه, bahr:مسحوب}"
78,"meta{qafiya:ـوسه, bahr:مسحوب}"
79,"meta{qafiya:ـل, bahr:مسحوب}"
80,"meta{qafiya:ـل, bahr:مسحوب}"
81,"meta{qafiya:ـل, bahr:مسحوب}"
82,"meta{qafiya:ـل, bahr:مسحوب}"
83,"meta{qafiya:ـل, bahr:مسحوب}"
84,"meta{qafiya:ـل, bahr:مسحوب}"
85,"meta{qafiya:ـايم, bahr:مسحوب}"
86,"meta{qafiya:ـايم, bahr:مسحوب}"
87,"meta{qafiya:ـايم, bahr:مسحوب}"
88,"meta{qafiya:ـيه, bahr:بسيط}"
89,"meta{qafiya:ـيه, bahr:بسيط}"
90,"meta{qafiya:ـيه, bahr:بسيط}"
91,"meta{qafiya:ـيه, bahr:بسيط}"
92,"meta{qafiya:ـيه, bahr:بسيط}"
93,"meta{qafiya:ـيه, bahr:بسيط}"
94,"meta{qafiya:ـيه, bahr:بسيط}"
95,"meta{qafiya:ـيه, bahr:بسيط}"
96,"meta{qafiya:ـيه, bahr:بسيط}"
97,"meta{qafiya:ـاني, bahr:مسحوب}"
98,"meta{qafiya:ـاني, bahr:مسحوب}"
99,"meta{qafiya:ـاني, bahr:مسحوب}"
100,"meta{qafiya:ـاني, bahr:مسحوب}"
101,"meta{qafiya:ـاني, bahr:مسحوب}"
102,"meta{qafiya:ـاني, bahr:مسحوب}"
103,"meta{qafiya:ـاني, bahr:مسحوب}"
104,"meta{qafiya:ـنا, bahr:مسحوب}"
105,"meta{qafiya:ـنا, bahr:مسحوب}"
106,"meta{qafiya:ـنا, bahr:مسحوب}"
107,"meta{qafiya:ـنا, bahr:مسحوب}"
108,"meta{qafiya:ـطا, bahr:مسحوب}"
109,"meta{qafiya:ـطا, bahr:مسحوب}"
