poem_id,singer_id
1,4
1,1
2,17
2,4
4,4
4,2
5,13
6,4
12,6
12,1
14,6
14,15
15,7
17,4
18,15
21,2
25,5
25,3
26,5
27,3
31,11
32,1
32,5
33,5
34,1
38,19
39,11
39,8
43,4
50,6
52,9
54,3
56,1
60,10
60,2
65,8
67,9
68,1
70,1
71,1
77,4
77,2
78,2
79,3
80,1
81,1
83,5
84,11
92,3
93,1
94,4
95,2
97,2
98,1
100,1
101,2
102,6
102,4
103,10
110,14
115,1
122,1
123,1
124,23
125,10
127,1
129,2
133,1
136,1
136,2
138,2
139,1
140,5
141,4
144,1
144,8
145,3
146,2
148,1
154,11
157,7
159,6
159,17
163,14
163,10
163,3
165,6
166,1
169,2
170,20
176,3
178,1
181,9
184,6
185,2
187,5
191,16
197,1
199,21
204,3
205,5
206,22
215,13
227,12
232,4
249,3
255,4
260,4
281,8
283,1
291,4
297,12
304,5
305,14
307,4
309,12
314,24
315,16
323,2
328,7
352,18
354,3
355,1
356,5
357,2
358,2
359,2
360,2
361,2
362,18
363,3
364,3
365,3
366,3
367,3
368,5
368,3
369,5
370,3
371,5
371,3
372,25
373,1
374,26
375,16
376,1
376,2
377,15
377,13
378,1
379,12
380,3
381,4
382,4
383,1
384,1
385,2
385,27
385,28
385,29
385,30
385,9
385,31
386,2
387,7
