Text content,Title,poem_id,Text_cleaned,Title_cleaned
حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,1,حبيبتي حالي من الشوق داني,لا تسال مجرب
أشــرّق بحـبّــك .. واعـوّد أغـرّب,لا تسـأل مجـرّب,1,اشرق بحبك واعود اغرب,لا تسال مجرب
أنـانـي فْـ وصـلك لـكـن يالأنـاني,لا تسـأل مجـرّب,1,اناني ف وصلك لكن يالاناني,لا تسال مجرب
تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,لا تسـأل مجـرّب,1,ترى الانانيه ف طبعك تخرب,لا تسال مجرب
لحظات حبّـك حطّـمت لي كـياني,لا تسـأل مجـرّب,1,لحظات حبك حطمت لي كياني,لا تسال مجرب
والحزن من بين الـمحـاني تـسـرّب,لا تسـأل مجـرّب,1,والحزن من بين المحاني تسرب,لا تسال مجرب
تـسـرّب وصـكّـت عـلـيه الـمـحاني,لا تسـأل مجـرّب,1,تسرب وصكت عليه المحاني,لا تسال مجرب
كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,لا تسـأل مجـرّب,1,كنه لوصلك بالجروح يتقرب,لا تسال مجرب
يا مْعـرّب الأنـسـاب خـدر العـياني,لا تسـأل مجـرّب,1,يا معرب الانساب خدر العياني,لا تسال مجرب
سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,لا تسـأل مجـرّب,1,سلم العرب لا تجهله يالمعرب,لا تسال مجرب
شـربت حـبّـك لين فـاض الحناني,لا تسـأل مجـرّب,1,شربت حبك لين فاض الحناني,لا تسال مجرب
وقامـت عروقي من غـلاك تْـشـرّب,لا تسـأل مجـرّب,1,وقامت عروقي من غلاك تشرب,لا تسال مجرب
ثـــلاث مـرّات .. وانـت تـدوّر فـراقي,ثــلاث مـرّات,2,ثلاث مرات وانت تدور فراقي,ثلاث مرات
وثــلاث مـرّات .. وانـا اقـول لا ترحــل,ثــلاث مـرّات,2,وثلاث مرات وانا اقول لا ترحل,ثلاث مرات
الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي,ثــلاث مـرّات,2,الظاهر ان الغلا ما عاد له باقي,ثلاث مرات
بيـني وبينك أشوف الوضع مسـتفـحل,ثــلاث مـرّات,2,بيني وبينك اشوف الوضع مستفحل,ثلاث مرات
عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي,ثــلاث مـرّات,2,عشرة زمن تجبر المشتاق يشتاقي,ثلاث مرات
سـحـلـتـها بالهـجـر، والوصـل ما يسـحل,ثــلاث مـرّات,2,سحلتها بالهجر والوصل ما يسحل,ثلاث مرات
عليك صــابر، وهذي قيـمـة اخــلاقي,ثــلاث مـرّات,2,عليك صابر وهذي قيمة اخلاقي,ثلاث مرات
لأن أرض الوفــــا دون الـوفـا تـمـحــــل,ثــلاث مـرّات,2,لان ارض الوفا دون الوفا تمحل,ثلاث مرات
ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي,ثــلاث مـرّات,2,ولانك الغالي اللي حرك اشواقي,ثلاث مرات
بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,ثــلاث مـرّات,2,بمكحلات العيون اللي بلا مكحل,ثلاث مرات
بالرقّـه .. انت الأرَق، وذوقك الراقي,ثــلاث مـرّات,2,بالرقه انت الارق وذوقك الراقي,ثلاث مرات
وبين الخصور النواحل خصرك الأنحل,ثــلاث مـرّات,2,وبين الخصور النواحل خصرك الانحل,ثلاث مرات
وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي,ثــلاث مـرّات,2,وقلوب عشاقك اللي كثر عشاقي,ثلاث مرات
عيونـهـم نحـل، لان شـفاتـك الـمنحل,ثــلاث مـرّات,2,عيونهم نحل لان شفاتك المنحل,ثلاث مرات
أصـعب سؤال فْـ حياة العاشق الشاقي,ثــلاث مـرّات,2,اصعب سؤال ف حياة العاشق الشاقي,ثلاث مرات
إللي طـرحتـه علـيك وما لـقـيت الحـل,ثــلاث مـرّات,2,اللي طرحته عليك وما لقيت الحل,ثلاث مرات
وشلون ترحل وحبّك وسـط الاعـماقي,ثــلاث مـرّات,2,وشلون ترحل وحبك وسط الاعماقي,ثلاث مرات
وانـا نـويت الرحـيل، وما قدرت أرحـل,ثــلاث مـرّات,2,وانا نويت الرحيل وما قدرت ارحل,ثلاث مرات
صاحبي يافاهمٍ قصدي ترى ما كل ديره,هواء الإمارات وثراها,3,صاحبي يافاهم قصدي ترى ما كل ديره,هواء الامارات وثراها
آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,هواء الإمارات وثراها,3,اتمشى في حدايقها وينعشني هواها,هواء الامارات وثراها
إتأسر قلبي لو ان نفسي في راحتها أسيره,هواء الإمارات وثراها,3,اتاسر قلبي لو ان نفسي في راحتها اسيره,هواء الامارات وثراها
كم بلاد يمرّها قلبي واذا سافر نساها,هواء الإمارات وثراها,3,كم بلاد يمرها قلبي واذا سافر نساها,هواء الامارات وثراها
خذ مَثَل هواء لندن لا خلط مسكه عبيره,هواء الإمارات وثراها,3,خذ مثل هواء لندن لا خلط مسكه عبيره,هواء الامارات وثراها
لو هواء بلاد زايد ماهو يشابه هواها,هواء الإمارات وثراها,3,لو هواء بلاد زايد ماهو يشابه هواها,هواء الامارات وثراها
والله انها أوّل احباب المشاعر والأخيره,هواء الإمارات وثراها,3,والله انها اول احباب المشاعر والاخيره,هواء الامارات وثراها
يا عساني فدوة اوّلها وفدوة منتهاها,هواء الإمارات وثراها,3,يا عساني فدوة اولها وفدوة منتهاها,هواء الامارات وثراها
ألله اكبر يالسنين العوج والشرهه كبيره,هواء الإمارات وثراها,3,الله اكبر يالسنين العوج والشرهه كبيره,هواء الامارات وثراها
شرهة العاقل على عوج السنين اللي مداها,هواء الإمارات وثراها,3,شرهة العاقل على عوج السنين اللي مداها,هواء الامارات وثراها
كل ما طالت ما نامن شرّها والطول خيره,هواء الإمارات وثراها,3,كل ما طالت ما نامن شرها والطول خيره,هواء الامارات وثراها
إنّـما للـخـالـــــدين اللي مْـخـلّــدها نـبـاها,هواء الإمارات وثراها,3,انما للخالدين اللي مخلدها نباها,هواء الامارات وثراها
والقلوب اللي مشاعرها مع العالم غفيره,هواء الإمارات وثراها,3,والقلوب اللي مشاعرها مع العالم غفيره,هواء الامارات وثراها
الـظــروف الكـايـده تردّها عن مـشـتـهاها,هواء الإمارات وثراها,3,الظروف الكايده تردها عن مشتهاها,هواء الامارات وثراها
مشتهاها تجعل الدنيا مثل وصف البحيره,هواء الإمارات وثراها,3,مشتهاها تجعل الدنيا مثل وصف البحيره,هواء الامارات وثراها
لـذّةٍ للـشــــــاربـيـن، ومـتـعــةٍ لـمـن رآهـــا,هواء الإمارات وثراها,3,لذة للشاربين ومتعة لمن راها,هواء الامارات وثراها
هكذا الإنسان عمره يوم حس ويوم غيره,هواء الإمارات وثراها,3,هكذا الانسان عمره يوم حس ويوم غيره,هواء الامارات وثراها
لو تحاول تجمع ايّامه وتبحث وش وراها,هواء الإمارات وثراها,3,لو تحاول تجمع ايامه وتبحث وش وراها,هواء الامارات وثراها
ما وراها غير باقي ذكرياته في مصيره,هواء الإمارات وثراها,3,ما وراها غير باقي ذكرياته في مصيره,هواء الامارات وثراها
يوم شاف امجاد غيره قال ياليته خذاها,هواء الإمارات وثراها,3,يوم شاف امجاد غيره قال ياليته خذاها,هواء الامارات وثراها
