Text content,Title,poem_id
حبيـبتي حالـي من الشــوق دانــي,لا تسـأل مجـرّب,1
أشــرّق بحـبّــك .. واعـوّد أغـرّب,,1
أنـانـي فْـ وصـلك لـكـن يالأنـاني,,1
تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,,1
لحظات حبّـك حطّـمت لي كـياني,,1
والحزن من بين الـمحـاني تـسـرّب,,1
تـسـرّب وصـكّـت عـلـيه الـمـحاني,,1
كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,,1
يا مْعـرّب الأنـسـاب خـدر العـياني,,1
سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,,1
شـربت حـبّـك لين فـاض الحناني,,1
وقامـت عروقي من غـلاك تْـشـرّب,,1
ثـــلاث مـرّات .. وانـت تـدوّر فـراقي,ثــلاث مـرّات,2
وثــلاث مـرّات .. وانـا اقـول لا ترحــل,,2
الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي,,2
بيـني وبينك أشوف الوضع مسـتفـحل,,2
عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي,,2
سـحـلـتـها بالهـجـر، والوصـل ما يسـحل,,2
عليك صــابر، وهذي قيـمـة اخــلاقي,,2
لأن أرض الوفــــا دون الـوفـا تـمـحــــل,,2
ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي,,2
بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,,2
بالرقّـه .. انت الأرَق، وذوقك الراقي,,2
وبين الخصور النواحل خصرك الأنحل,,2
وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي,,2
عيونـهـم نحـل، لان شـفاتـك الـمنحل,,2
أصـعب سؤال فْـ حياة العاشق الشاقي,,2
إللي طـرحتـه علـيك وما لـقـيت الحـل,,2
وشلون ترحل وحبّك وسـط الاعـماقي,,2
وانـا نـويت الرحـيل، وما قدرت أرحـل,,2
صاحبي يافاهمٍ قصدي ترى ما كل ديره,هواء الإمارات وثراها,3
آتـمـشّى فـي حـدايـقـها وينعـشـني هواها,,3
إتأسر قلبي لو ان نفسي في راحتها أسيره,,3
كم بلاد يمرّها قلبي واذا سافر نساها,,3
خذ مَثَل هواء لندن لا خلط مسكه عبيره,,3
لو هواء بلاد زايد ماهو يشابه هواها,,3
والله انها أوّل احباب المشاعر والأخيره,,3
يا عساني فدوة اوّلها وفدوة منتهاها,,3
ألله اكبر يالسنين العوج والشرهه كبيره,,3
شرهة العاقل على عوج السنين اللي مداها,,3
كل ما طالت ما نامن شرّها والطول خيره,,3
