singer_id,singer_name,song_count
1,راشد الماجد,32
2,ميحد حمد,23
3,محمد عبده,20
4,حسين الجسمي,17
5,عبدالمجيد عبدالله,13
6,ابوبكر سالم,7
7,الوسمي,4
8,فايز السعيد,4
9,حمد العامري,4
10,اصاله نصري,4
11,اريام,4
12,عيضه المنهالي,4
13,كاظم الساهر,3
14,يارا,3
15,بلقيس فتحي,3
16,علي بن محمد,3
17,اسماء لمنور,2
18,المجموعة,2
19,عباس ابراهيم,1
20,سلمان حميد,1
21,نبيل شعيل,1
22,خالد عبدالرحمن,1
23,لطيفة التونسية,1
24,اصيل ابوبكر,1
25,محمد المنهالي,1
26,هزاع الرئيسي,1
27,عيضة,1
28,الجسمي,1
29,فايز,1
30,هزاع,1
31,بلقيس,1
