Row_number,"meta{qafiya:..., bahr:...}",meta
1,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
2,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
3,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
4,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
5,"meta{qafiya:ـل, bahr:منكوس}","meta{qafiya:ل, bahr:منكوس}"
6,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
7,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
8,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
9,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
10,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
11,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
12,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
13,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
14,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
15,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
16,"meta{qafiya:ـني, bahr:متوسط}","meta{qafiya:ي, bahr:متوسط}"
17,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
18,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
19,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
20,"meta{qafiya:ـت, bahr:متوسط}","meta{qafiya:ت, bahr:متوسط}"
21,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
22,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
23,"meta{qafiya:ـهب, bahr:متوسط}","meta{qafiya:ب, bahr:متوسط}"
24,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
25,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
26,"meta{qafiya:ـب, bahr:مستطيل}","meta{qafiya:ب, bahr:مستطيل}"
27,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
28,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
29,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
30,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
31,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
32,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
33,"meta{qafiya:ـقها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
34,"meta{qafiya:ـه, bahr:متوسط}","meta{qafiya:ه, bahr:متوسط}"
35,"meta{qafiya:ـه, bahr:متوسط}","meta{qafiya:ه, bahr:متوسط}"
36,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
37,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
38,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
39,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
40,"meta{qafiya:ـها, bahr:متوسط}","meta{qafiya:ا, bahr:متوسط}"
41,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
42,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
43,"meta{qafiya:ـل, bahr:بسيط}","meta{qafiya:ل, bahr:بسيط}"
44,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
45,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
46,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
47,"meta{qafiya:ـس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
48,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
49,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
50,"meta{qafiya:ـمح, bahr:مسحوب}","meta{qafiya:ح, bahr:مسحوب}"
51,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
52,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
