poem_id,Row_ID,Title_raw,Poem_line_raw,summary,Title_cleaned,Poem_line_cleaned,قافية,البحر,وصل,حركة,نوع,شخص,sentiments,أماكن,أحداث,مواضيع,تصنيف,overall confidence,Status
1,1,لا تسال مجرب,حبيـبتي حالـي من الشــوق دانــي      أشــرّق بحـبّــك .. واعـوّد أغـرّب,الشاعر يصف شوقه العميق لمحبوبته، متأرجحًا بين إشراقة الحب ومرارة الابتعاد.,لا تسال مجرب,حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""حبيبتي"",""relation"":""الحبيبة""}]","[""شوق"",""حب""]",[],[],"[""حبيبتي"",""حبك""]",معاصر,0.92,Analysed
1,2,لا تسال مجرب,أنـانـي فْـ وصـلك لـكـن يالأنـاني      تـرى الأنانـيّـه فْـ طـبـعـك تـخــرّب,يعترف بأنانية في وصلها، محذرًا أن الأنانية في طبيعتها تسبب الخراب للعلاقة.,لا تسال مجرب,اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المخاطبة""}]","[""ألم"",""حسرة""]",[],[],"[""وصلك"",""طبعك"",""الأنانية""]",معاصر,0.88,Analysed
1,3,لا تسال مجرب,لحظات حبّـك حطّـمت لي كـياني      والحزن من بين الـمحـاني تـسـرّب,لحظات الحب دمرت كيانه، وأدت إلى تسرب الحزن العميق إلى أعماق قلبه.,لا تسال مجرب,لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""ألم""]",[],[],"[""حبك"",""المحاني""]",معاصر,0.9,Analysed
1,4,لا تسال مجرب,تـسـرّب وصـكّـت عـلـيه الـمـحاني      كـنّـه لـوصـلك بالـجـروح يْـتـقـرّب,الحزن استقر في أعماقه، وبات وكأنه يقترب من المحبوب عبر الجروح والآلام.,لا تسال مجرب,تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حزن"",""ألم""]",[],[],"[""وصلك"",""المحاني"",""الجروح""]",معاصر,0.85,Analysed
1,5,لا تسال مجرب,يا مْعـرّب الأنـسـاب خـدر العـياني      سِـلْـم العـرب لا تجهـله يـالـمـعـرّب,ينادي الشاعر شخصًا ذا أصل كريم، مذكّرًا إياه بأهمية التمسك بعادات العرب وتقاليدهم.,لا تسال مجرب,يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""معرب الأنساب"",""relation"":""معرب""}]","[""تأمل"",""حكمة""]",[],[],"[""معرب"",""العياني"",""العرب""]",معاصر,0.87,Analysed
1,6,لا تسال مجرب,شـربت حـبّـك لين فـاض الحناني      وقامـت عروقي من غـلاك تْـشـرّب,ارتوى الشاعر من الحب حتى فاضت مشاعره، وصارت كل ذرة من كيانه تشرب من غلاها.,لا تسال مجرب,شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب,ب,الكامل,,ضمة,مقيدة,"[{""name"":""الحبيب"",""relation"":""المحبوب""}]","[""حب"",""وجد""]",[],[],"[""حبك"",""الحناني"",""عروقي"",""غلاك""]",معاصر,0.91,Analysed
2,7,ثلاث مرات,ثـــلاث مـرّات .. وانـت تـدوّر فـراقي      وثــلاث مـرّات .. وانـا اقـول لا ترحــل,يعاتب الشاعر محبوبته التي تسعى للفراق بينما هو يتوسل للبقاء.,ثلاث مرات,ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حزن"",""شوق""]",[],[],"[""أنت"",""فراقي""]",معاصر,0.92,Analysed
2,8,ثلاث مرات,الظـاهــر ان الـغــــلا مـا عـاد لـه بـاقـي      بيـني وبينك أشوف الوضع مسـتفـحل,يرى الشاعر أن المودة تلاشت والوضع بينهما صار متفاقمًا وصعبًا.,ثلاث مرات,الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""حزن"",""يأس""]",[],[],"[""أنت"",""بيني وبينك"",""الغلا""]",معاصر,0.88,Analysed
2,9,ثلاث مرات,عِـشـرة زمن تجـبر الـمشـتاق يشـتاقي      سـحـلـتـها بالهـجـر ، والوصـل ما يسـحل,يلوم الشاعر هجر محبوبته الذي دمر عشرة العمر الطويلة، مفسدًا كل شيء.,ثلاث مرات,عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""المشتاق"",""relation"":""عام""}]","[""شوق"",""ألم""]",[],[],"[""المشتاق"",""يشتاقي""]",معاصر,0.85,Analysed
2,10,ثلاث مرات,عليك صــابر ، وهذي قيـمـة اخــلاقي      لأن أرض الوفــــا دون الـوفـا تـمـحــــل,يصبر الشاعر على محبوبته، معتبرًا الصبر قيمة أخلاقية للحفاظ على الوفاء.,ثلاث مرات,عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""صبر"",""فخر""]","[{""name"":""أرض الوفا"",""type"":""ثقافة""}]",[],"[""أنت"",""عليك""]",معاصر,0.9,Analysed
2,11,ثلاث مرات,ولأنّـك الـغـــالي اللي حَـــرّك اشـــواقي      بـمكـحّـــلات الـعـيــون اللي بلا مـكـحـل,يصف الشاعر محبوبته بأنها الغالية التي تثير أشواقه بعينيها الساحرة الطبيعية.,ثلاث مرات,ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""أنت"",""relation"":""الحبيب""}]","[""شوق"",""حب""]",[],[],"[""أنت"",""الغالي"",""اشواقي"",""عيون""]",معاصر,0.93,Analysed
2,12,ثلاث مرات,بالرقّـه .. انت الأرَق ، وذوقك الراقي      وبين الخصور النواحل خصرك الأنحل,يمدح الشاعر محبوبته لكونها الأرق والأكثر رقة وذوقًا، وذات خصر نحيل.,ثلاث مرات,بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""}]","[""حب"",""إعجاب""]",[],[],"[""أنت"",""الأرق"",""ذوقك"",""الراقي"",""خصرك"",""الأنحل""]",معاصر,0.95,Analysed
2,13,ثلاث مرات,وقـلـوب عـشّـاقــك اللي كـثـر عـشّــاقي      عيونـهـم نحـل ، لان شـفاتـك الـمنحل,يتحدث عن كثرة عشاقها الذين تنجذب قلوبهم وعيونهم إلى سحر شفتيها.,ثلاث مرات,وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""الحبيبة"",""relation"":""المحبوبة""},{""name"":""عشاق"",""relation"":""جماعة""}]","[""حب"",""غيرة""]",[],[],"[""أنت"",""عشاقك"",""شفاتك"",""المنحل"",""عيونهم"",""نحل""]",معاصر,0.91,Analysed
2,14,ثلاث مرات,أصـعب سؤال فْـ حياة العاشق الشاقي      إللي طـرحتـه علـيك وما لـقـيت الحـل,يتأمل الشاعر في أصعب سؤال طرحه على محبوبته ولم يجد له حلًا.,ثلاث مرات,اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل,ل,الكامل,,سكون,مقيدة,"[{""name"":""العاشق"",""relation"":""عام""},{""name"":""أنت"",""relation"":""الحبيب""}]","[""ألم"",""حيرة""]",[],[],"[""العاشق"",""الشاقي"",""أنت""]",معاصر,0.87,Analysed
