id,Titlecleaned,Poem_line_cleaned,Extended_Summary,Prompt,Status,names,url,taskId
1,لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب","قصيدة ""لا تسال مجرب"" لفزاع، وجدانية نابضة تعبر عن صراع الشوق الدامي والكبرياء المتأجج أمام صدود الحبيبة ""خدر العياني"". يصور الشاعر حاله الداني من الشوق، يشرق بحبها ثم يغرب، محذراً من أنانيتها التي تحطم كيانه وتسرب الحزن بين محانيه. رغم الجروح، يتقرب للوصل، مشيراً إلى نبل نسبها العربي، وقد فاضت عروقه حناناً من غلاّها. تكرار الأبيات يعزز الإلحاح العاطفي، تجسيد للعشق الشاقي الذي يمزق بين الوفاء والألم، مثالي لتصميم بوستر يجمع الرمال الحارة، الشقوق الدامية، والعيون الساحرة تحت عنوان يحمل تحذيراً عميقاً: ""لا تسأل مجرّباً"".","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and finely embroidered black bisht, his face a portrait of intense longing and fiery pride, set against a muted cyan and desaturated teal desert twilight with cracked earth symbolizing heartbreak and scattered wilting desert roses at his feet representing painful beauty, subtle incense smoke wisps curling in the cool blue-grey air, soft golden rim lighting highlighting his contemplative expression, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic 85mm lens flare, moody cinematic masterpiece evoking the torment of unrequited love and noble heritage, 8K photorealistic Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
2,ثلاث مرات,"ثلاث مرات .. وانت تدور فراقي      وثلاث مرات .. وانا اقول لا ترحل
الظاهر ان الغلا ما عاد له باقي      بيني وبينك اشوف الوضع مستفحل
عشره زمن تجبر المشتاق يشتاقي      سحلتها بالهجر ، والوصل ما يسحل
عليك صابر ، وهذي قيمه اخلاقي      لان ارض الوفا دون الوفا تمحل
ولانك الغالي اللي حرك اشواقي      بمكحلات العيون اللي بلا مكحل
بالرقه .. انت الارق ، وذوقك الراقي      وبين الخصور النواحل خصرك الانحل
وقلوب عشاقك اللي كثر عشاقي      عيونهم نحل ، لان شفاتك المنحل
اصعب سءال ف حياه العاشق الشاقي      اللي طرحته عليك وما لقيت الحل
وشلون ترحل وحبك وسط الاعماقي      وانا نويت الرحيل ، وما قدرت ارحل","قصيدة ""ثلاث مرات"" لفزاع تعبر عن صراع عاشق شاقٍّ يرفض الفراق ثلاث مرات، رغم محاولات الحبيب الراغب في الهجر، معتبراً الغلا مستفحلاً بعد عشْرِ سنين وصلٍ سحَلتْهُ النوى. يصبر الشاعر على الرحيل تأكيداً لقيمة أخلاقه في أرض الوفاء التي تمحَلُ دون الوفا، مُمجِّداً الغالي برَقَّته الفطريّة، عيونه مكحّلات بلا مكحل، خصره الانحلّ بين النواحل، وشَفَتَيْهِ مُنْحَلَتَيْنِ تجذبُ عشَّاقاً كَثْرَ عيونَ النَّحْلِ. يتساءلُ حَيْرَةً: كيفَ يَرْحَلُ حُبُّهُ مِنْ أَعْمَاقِي وَأَنَا عَاجِزٌ عَنِ الرَّحِيلِ؟ تكرارُ الأبيَاتِ يُعَزِّزُ الدَّوَامَةَ الْعَاطِفِيَّةَ بَيْنَ الْوَفَاءِ وَالْجَذْبِ الْحَسِيِّ.","Cinematic medium shot of Sheikh Hamdan bin Mohammed (Fazaa) in pristine white kandura and black bisht with subtle gold embroidery, his face etched with dignified longing and deep emotional resolve, standing on muted cyan-tinted desert dunes at twilight, scattered wilting desert roses and cracked earth symbolizing heartbreak and separation, distant falcon silhouette against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere reflecting the struggle between loyalty and departure, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
3,هواء الامارات وثراها,"صاحبي يافاهم قصدي تري ما كل ديره      اتمشي في حدايقها وينعشني هواها
اتاسر قلبي لو ان نفسي في راحتها اسيره      كم بلاد يمرها قلبي واذا سافر نساها
خذ مثل هواء لندن لا خلط مسكه عبيره      لو هواء بلاد زايد ماهو يشابه هواها
والله انها اول احباب المشاعر والاخيره      يا عساني فدوه اولها وفدوه منتهاها
الله اكبر يالسنين العوج والشرهه كبيره      شرهه العاقل علي عوج السنين اللي مداها
كل ما طالت ما نامن شرها والطول خيره      انما للخالدين اللي مخلدها نباها
والقلوب اللي مشاعرها مع العالم غفيره      الظروف الكايده تردها عن مشتهاها
مشتهاها تجعل الدنيا مثل وصف البحيره      لذه للشاربين ، ومتعه لمن راها
هكذا الانسان عمره يوم حس ويوم غيره      لو تحاول تجمع ايامه وتبحث وش وراها
ما وراها غير باقي ذكرياته في مصيره      يوم شاف امجاد غيره قال ياليته خذاها
يحسب ان المجد فجاه ما دري ان المجد سيره      سيره ما تنتهي دام الكواكب في سماها
والقدر علي وتيره .. والعمر علي وتيره      والثنين لبعضهم يمشون والدنيا عطاها
ماهو بورث تحكم فيه عميان البصيره      كان ما مديتها بالجهد ما نالك رضاها
السعاده لو تباع ف سوق الاحزان الكثيره      كل واحد يعتريه الحزن تلقاه اشتراها
السعاده ما اشترتها روس الاموال الوفيره      شوف كم تاجر يدورها ولكن ما لقاها
بس انا محتاج ما لا احتاج فعلا شي غيره      شي يسمو بالنفوس لين يظهر محتواها
هي قصيده شاعر وضح لك اللي في ظميره      ايعرف وش علته لكن يجهل وش دواها
غاص بالهوجاس باعماق المحيطات الغزيره      لين جاب اللي يليق بمستواه ومستواها
مو مهم تكون نشرت في مجلات الجزيره      المهم تقول لي كم شخص متثقف قراها
المهم ان (لندن) اللي مسكها يخالط عبيره      اغلي منها هوا ارض ( الامارات ) وثراها","قصيدة ""هواء الإمارات وثراها"" نشيد وطني عميق لفزاع، يخاطب فيه صديقه بفخر لا يُضاهى عن سحر الإمارات، حيث يقارن هواءها بعبير بلاد زايد الذي يفوق لندن، ويأسر القلب فلا ينسى رغم السفر. يتجاوز الشاعر الزمن العوج، مؤكداً أن المجد سيَرٌّ جهد لا يرث، والسعادة تسمو بالنفوس لا تشترى بأموال. يحتفي بالأرض كأول وآخر أحباب المشاعر، فداها أبد الدهر، ويختم بتفوق ترابها على كل عابر، رمزاً للانتماء الخالد الذي ينعش الحدائق والأرواح. ملحمة تجمع بين الحنين والعزة، مثالية لملصق يعكس فخر الإمارات بصور هواء نقيّ، حدائق خضراء، وأفق زايد الشامخ.","Cinematic medium-wide shot of Sheikh Mohamed bin Zayed (Bo Zayed) and Sheikh Khalifa bin Zayed (Bo Khalifa) standing side-by-side in a dignified unity pose on a muted cyan-tinted desert terrace overlooking a modern skyline at twilight, both gazing toward the horizon with expressions of visionary resolve and deep contemplation, wearing pristine white kanduras and black bishts with intricate gold embroidery, subtle incense smoke wisps curling upward and distant falcon silhouettes against the cool blue-grey sky, volumetric golden-hour rim lighting with soft amber highlights and dramatic cyan undertones, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and majestic atmosphere reflecting the poem's themes of heritage, leadership, and the unique spirit of the UAE, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,زايد,https://d1q70pf5vjeyhc.cloudfront.net/predictions/efa0907cf1d9470c99daa70e47853e31/1.jpg,63c6612e17d14f66965eab6a6746847b
4,يتيم,"يتيم فاقد شوفه امه من سنين      وابوه مات من القهر والتجني
ما شاف واحد منهم بنظره العين      والحزن يهدم في الضلوع ويبني
تنزل دموعه من لحون المغنين      واهل اللحون من السعاده تغني
قالوا تمني ؟ قال ابا شوف الاثنين      كانه يفيد الميتين التمني
يا كامل الاوصاف ، يا نادر الزين      هذا شعوري كل ما غبت عني
كيف اتقبل تعزيه بعدك الشين      واشوف عذالي تجيك وتهني
دام الهجر والشوق والحزن قاسين      ليتك علينا يا حبيبي تحني
يكفيك فني عن فنون المحبين      كم مره استطربت والفن فني
كنت اتاني من فراقك معي لين      طولت بفراقك ومات التاني
وكان الخطا منك ، مسامحك هالحين      وكان الخطا مني ، وش تريد مني ؟","قصيدة ""يتيم"" لفزاع تعبر عن يتمِّ العاشقِ الروحيّ، مقارنَهُ بفقدانِ اليتيمِ لوالدَيْهِ: أمٌّ غائِبَةٌ من سنينَ، وأبٌ مَاتَ قَهْرًا. يهدِمُ الحُزْنُ صَدْرَهُ بينَما تَسْكُبُ دُمُوعُهُ مَعَ أَلْحَانِ المَغَانِي السَّعِيدَةِ، مُعَارِضًا بَيْنَ وَجْدِهِ وفَرْحِ العَالَمِ. يَرْفُضُ التَّمْنِيَ فَقَطْ، مُتَشَوِّقًا لِرُؤْيَةِ الْحَبِيبِ ""الْكَامِلِ الْأَوْصَافِ""، مُتَأَلْمِينَ مِنْ هَجْرِهِ وَتَعَازِي الْعَذَالَى وَهَنْئِهِمْ لَهُ. يَتَسَامَحُ مَعَ الْخَطْأِ مِنْ جَانِبَيْهِمَا، مُنْهِيًا بِالْيَأْسِ مِنْ طُولِ الْفِرَاقِ الَّذِي قَتَلَ فَنَّهُ وَرُوحَهُ، دَاعِيًا الْحَبِيبَ لِلْعَوْدَةِ رَغْمَ قَسْوَةِ الشَّوْقِ.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in pristine white kandura and black bisht with subtle gold embroidery, his face etched with profound sorrow and spiritual longing, standing on muted cyan-tinted cracked desert earth at twilight, wilting desert roses and scattered prayer beads symbolizing devotion and pain, distant falcon silhouette against desaturated teal sky, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere of spiritual abandonment, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
5,مرت علي بالي,"حبيبتي مرت علي بالي اليوم      و وقفت تقدير لها يوم مرت
جابت لي الفرحه وانا كنت مهموم      الظاهر انها عن علومي تحرت
وفراقها كون في خفاقي غيوم      امطارها علي الفيافي لا خرت
تنبت من الازهار ما كان معدوم      وتسر نفس من زمن ما استسرت
في حبها حسادي تكثر اللوم      وهي ورا عوج الضلوع استقرت
احلم بها واطيح في النوم واقوم      فرحان .. لكن فرحتي ما استمرت
الي صحيت اعاتب الحظ والوم      الايام .. والايام منها تبرت
الهجر طعنه خاين بسيف مسموم      نفسه علي فعل الخيانه تضرت
ومن يحرم من العشق يعيش محروم      كم روح من قل الوصال استضرت
لا جيت انام .. النفس ما تعشق النوم      حاولت اقنعها .. لكنها اصرت
تبغي حبيبه قلبي الغاليه دوم      تمر في بالي ، واوقف لا مرت","قصيدة ""مرت علي بالي"" لفزاع، ملحمة عشقية تُجسّد مرور المحبوبة في خيال الشاعر كعاصفة فرحٍ تهدّي الهموم وتُحيي الصحراء أزهاراً من عطش الفراق. يصف ذكراها المتكرّرة كغيومٍ ممطرة تنبت ما كان معدوماً، رغم حسادٍ يلومون وأحلامٍ تنقضي بسرعة عند اليقظة، تاركة عتاباً للأيام الخائنة وسيف الهجر المسموم. يؤكّد الشاعر أن النفس ترفض النوم إلا لِتَعِشَ وصالَ الحبيبة الغالية، التي استقرّت خلف عوج الضلوع، محرّمةً على العاشقِ محروماً يئنّ من قلّة الوصال. تتكرّر الأبيات كإيقاعٍ نباتيّ يُعيدُ صورةَ الفرحِ الزائرِ، مُبرِزَةَ الصراعَ بين الشوقِ الأبديِّ والحرمانِ القاسي.","Cinematic medium shot of Sheikh Hamdan bin Mohammed (Fazaa) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified longing and poetic sorrow, standing amidst a surreal desert landscape where wilting desert roses bloom from cracked earth under desaturated teal skies, distant incense smoke wisps curling upward against a muted cyan twilight horizon, subtle warm amber rim lighting highlighting the texture of traditional Sadu patterns on his garment, shallow depth of field with bokeh background, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, contemplative emotional atmosphere blending heritage resilience with heartbreak, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
6,لا تلبس ذهب,"انته ذهب من دون ما تلبس ذهب      وش له تروح السوق وتدور عليه
سبحان من سوا .. وجل من وهب      حلاك بيدينك كانك منتقيه
شفايفك جمره .. وثغرك من لهب      خايف علي خدك لهب ثغرك يجيه
لو كان رمشك ينهب .. كان انهب      من كل عاقل شاف رمشك .. او سفيه
لا ترتهب ما فيه واحد يرتهب      من واحد يحبه وخفاقه يبيه
انا ف مهب الريح الا انت ف مهب      شوق سكن قلبي وقلبي محتويه
ذهب معك قلبي .. ياليته ما ذهب      لا قلت عود قال انا باموت فيه
تدري وش يخلي جروحي تلتهب ؟      اني اخلي شي .. وانا مشتهيه","قصيدة ""لا تلبس ذهب"" لفزاع، نشيد حبٍّ نابض يُخْرِجُ المحبوبَ ذهَباً فطرياً لا يُشْتَرَى، فهوَ الجمالُ المُنْتَقَى بيدَيْ الخالقِ، شفاهُ جمرٌ وثغرُ لهَبٌ يُهْدِدُ خدَّهُ بنارِ الإغراءِ. رَمْشُهُ نَهْبٌ يَسْتَطِيعُ سَرْقَةَ العَقْلِ وَالْهَوَى، وَلَوْ طَلَبَ الْقَلْبَ مَا رَتَهَبَ مِنْ مُحِبٍّ يَخْضَعُ لَهُ. الشَّاعِرُ فِي مَهْبِ الرِّيحِ، وَالْحَبِيبُ فِي مَهْبِ الشَّوْقِ الْمُسْتَقِرِّ فِي الصَّدْرِ، قَلْبُهُ ذَهَبٌ ذَهَبَ مَعَهُ وَلَمْ يَعُدْ، جُرْحُهُ يَلْتَهِبُ مِنْ فِرَاقِ الْمُشْتَاقِ. تَكْرَارُ الْمَقْطَعِ يُعَزِّزُ الْغَرَامَ الْمُتَوَاصِلَ، صُورٌ حَسِيَّةٌ نَابَتِيَّةٌ تَجْمَعُ بَيْنَ الْحَنَانِ وَالْعِشْقِ الْمُضْطَرِبِ، لِلْبُوسْتَرْ: خَلْفِيَّةٌ ذَهَبِيَّةٌ مَتَلْأْلِئَةٌ بِشَفَاهْ جَمْرِيَّةٍ وَعَيْنَيْنِ نَاهِبَتَيْنِ، عُنْوَانٌ بَوْلْدِي بِـ""لَا تَلْبَسْ ذَهَبْ"".","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and finely embroidered black bisht, his intense gaze filled with smoldering passion and longing, lips like glowing embers threatening a cheek with fiery allure, set against a muted cyan and desaturated teal twilight desert backdrop. Scattered wilting desert roses and a single falcon feather symbolize aching love and noble freedom, subtle incense smoke wisps curl in the cool air, volumetric golden rim lighting with soft amber highlights accentuating his contemplative expression, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, emotionally resonant, poetic atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
7,لا تسال مجرب,"حبيبتي حالي من الشوق داني      اشرق بحبك .. واعود اغرب
اناني ف وصلك لكن يالاناني      تري الانانيه ف طبعك تخرب
لحظات حبك حطمت لي كياني      والحزن من بين المحاني تسرب
تسرب وصكت عليه المحاني      كنه لوصلك بالجروح يتقرب
يا معرب الانساب خدر العياني      سلم العرب لا تجهله يالمعرب
شربت حبك لين فاض الحناني      وقامت عروقي من غلاك تشرب
ياللي تقول اسال مجرب تراني      سالت واحد .. بس قام يتهرب
لا تسال مجرب يا قلب وتعاني      اسال طبيب و خل عنك المجرب","قصيدة ""لا تسأل مجرب"" لفزاع، ملحمة عاطفية تُجسّد صراع الشوق الدامي والأنانية المُدمِّرة في وجه حبٍّ يُشرِقُ فَيَغْرُبُ، حيث يتوسَّلُ العاشقُ الحبيبَةَ ""خدرَ العياني"" بالوفاء رغم جروح الفراق. يُحَطِّمُ حُبُّها كِيانَهُ، فَيَسْرَبُ الحُزْنُ مِنْ مَحَانِيهِ، وَتَفِيضُ عُرُوقُهُ غَلاَها، لِكِنَّ نَصِيحَتَهُ الْحَازِمَةَ تَرْفُضُ ""اسْأَلْ مُجْرَبًا"" الْمُتَحَرِّبَ، فَتَدْعُو إِلَى طَبِيبِ الْقَلْبِ لِشِفَاءٍ يَفُوقُ الْخِيَانَةَ. تَتَكَرَّرُ الْأَبْيَاتُ كَدَوْرَةِ الْعَذَابِ، مُبَرْزِمَةً جَمَالَ الْمَحْبُوبَةِ وَقَسْوَةَ الْوَاقِعِ، رَمْزًا لِلْحُبِّ الْمُؤْلِمِ الَّذِي يَحْتَاجُ عِلَاجًا لا مُجَرَّبَاتٍ مُخِيبَةً.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his face marked by deep, anguished longing and resolute pain, set against a muted cyan and desaturated teal twilight desert backdrop. Scattered wilting desert roses and cracked desert earth symbolize heartbreak and fading love, with delicate incense smoke wisps curling upward, evoking memory and spiritual yearning. Soft amber rim lighting contrasts the cool blue-grey tones, volumetric rays highlight his contemplative expression. Shot on ARRI Alexa 65 with anamorphic 85mm lens, shallow depth of field with bokeh, cinematic masterpiece, Apple TV+ documentary style, emotionally resonant and poetic atmosphere, no text, no watermark, no women.",,,,
8,قصر زعبيل,"للشعر فكره وللهاجس ميه طاري      ترز للقمه العليا بيارقها
وقصيدتي من حصيله ناتج افكاري      كل القصايد الي من جات تفرقها
لو ابغي اغرق الساحه بابحاري      غرقتها بس انا ما احب اغرقها
ارسم ملامح طموحاتي في اشعاري      واحاول اني قبل ما اموت احققها
واعرف مقدار غيري قبل مقداري      واخطاء نفسي علي غيري ما اعلقها
لكن مشوار عمري لي متي ساري      ارهقت نفسي وما ادري ليه مرهقها
قدام تتعب قدم رجلي يا مشواري      الايام ساعاتها تشرح دقايقها
مراحل العمر تجري والزمن جاري      والناس تفني ويبقي وجه خالقها
وانا طموحي تخلد فعلي اخباري      ف ارشيف تاريخ الافعال ووثايقها
نجاحي لشخصي اعداءه يا انصاري      اكيد منطقه ما يشبه لمنطقها
من يامر بستر خلق الله وهو عاري      نصيحته من علي نفسه يطبقها
من كثر ما اخاطب العالم بمعياري      دايم اميز لكاذبها وصادقها
صحيح انا ما معي جنه ولا ناري      لكن ربي خلق خلقه وفرقها
من شرفه القصر اناظر خلف الاسواري      وجيه ناس عسي ربي يوفقها
ويزيد عزمي بفعل الخير واصراري      في خدمه بلاد برق العز بارقها
والطيب قصه وفيها معظم اسراري      والذل نار ونفوس الذل يحرقها
يا قصر ( زعبيل ) دامك بالحزن داري      لا تعلم ( دبي ) وتبكي مناطقها
الحزن اخوي الصغير وضيفي وجاري      في غربه الارض الوسيعه او مشارقها
مافي عيوني سوي دمعات تذكاري      لولا السحا من محاجر عيني اعتقها","قصيدة ""قصر زعبيل"" ملحمة نبطية عميقة لفزاع، تُجسّد صراع الطموح الشخصي مع هموم الغربة والحزن، حيث يرسم الشاعر بحاره الفكرية كأعلام ترقى للقمة العليا، رافضاً الإغراق في الساحة بالغضب، مفضلاً تحقيق الطموحات قبل الموت. يتأمل مشوار العمر الرهيب الذي يُتعب القدمين، والزمن الجاري الذي يُفني الناس ويُبقي وجه الخالق، مؤكداً أن الفعل هو الوثيقة التاريخية للخلود. ينتقد النفاق والحساد، مُميّزاً الصادق من الكاذب بمعياره الراسخ، ويُشرف قصر زعبيل بنظراته خلف الأسوار نحو وجوه الأبرار، معزّزاً عزمه في خدمة دبي برق العز. يختم بحزنٍ دامٍ كأخ صغير وجار وضيف، دموع تذكارية في غربة الأرض، محتجزة بسحاب محاجر عينيه، في تناغم بين الطيب السرّي والذل الناري الذي يحرق النفوس.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his expression a profound blend of contemplative ambition and restrained sorrow, standing before the muted cyan and desaturated teal silhouette of Zaabeel Palace at twilight, cracked desert earth beneath symbolizing hardship and fleeting time, wisps of incense smoke curling upward evoking memory and spirituality, a single falcon feather resting gently nearby signifying nobility and freedom, volumetric golden hour rim lighting with cool blue-grey tones and soft amber highlights, shallow depth of field with bokeh background, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, emotionally resonant, poetic atmosphere of longing and steadfast resolve, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",,,,
9,قلب السبع,"من جايع الوصل .. للي حبها شبعه      لا اطربني الشوق كيف اشبع من الطربه
حر الهوي لو يلومه في الهوي تبعه      ما شاف مخلابه اللي مدمي خربه
من حصل اللي خذا قلبي وانا تبعه      قلبي علي دربها ، وانا علي دربه
غزاله الوادي اللي جرحت سبعه      من شرق قلب السبع تختال لا غربه
خذت من القلب ثلث الشوق او ربعه      بالنظره الواثقه ، والهرجه الذربه
والكره .. مثل السحابه في شهر سبعه      ما تنبت العشب ولا تسقي التربه
والحب .. نهر مصبه فاض من نبعه      شوفه يكفيك يالظميان عن شربه
والوصل .. مثل الشجاع الشهم في ربعه      ما يرهب السيف ولا يرهب الحربه
والهجر .. مثل الذليل اللي فشل طبعه      من ذله .. الناس محد يطمع ف قربه","قصيدة ""قلب السبع"" ملحمة عاشقة تُجسّد صراع الشوق الجارف والتبعية العمياء لـ""غزالة الوادي"" التي جرحت قلب الأسد الشجاع بسياط نظراتها الواثقة وإغرائها الذرّب. يصف ""فزاع"" الهوى حرّاً لا يُلْوَم، يتبع درب المحبوبة رغم الخراب، مقارناً الحب بنهرٍ فائضٍ يروي الظمأ بنظره وحده، والوصل بشهمٍ لا يَرْهَبُ الحرب. أما الكره فسحابة عقيمة في سبع، والهجر ذليلٌ منبوذ لا يقتربُه أحد. تتكرّر الأبيات كإيقاع نبطيّ يعزّز الشبع من الشوق نفسه، رمزاً للعشق الذي يُشْبِعُ الجوعَ بالألمِ والفخرِ معاً، في لوحةٍ درامية تجمع بين وحشية القلب السبعيّ ورقّة الغزالة المتسلِّطة.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with intricate gold embroidery, his face a portrait of fierce longing and noble resolve, set against a muted cyan and desaturated teal twilight desert backdrop. Around him, scattered wilting desert roses and a single falcon feather symbolize painful love and freedom, while subtle incense smoke wisps evoke memory and spirituality. Volumetric golden hour rim lighting with cool blue-grey tones and soft amber highlights accentuate his contemplative expression. Shot on ARRI Alexa 65 with anamorphic 85mm lens, shallow depth of field with bokeh, cinematic masterpiece, Apple TV+ documentary aesthetic, emotionally resonant and poetic atmosphere, no text, no watermark, no women.",,,,
10,شعب الامارات,"مداخيل الشعر وايد ، وانا شاعر ولي مدخال      ولكن المخارج ما هي تشابه مداخلها
وانا بين المخارج والمداخل يوم طاب الفال      جبرت اخر بيوت المفردات ينافس اولها
سبحت من الشعر بحر وملكت من البيوت جزال      وهي ماهي بمهنه ، لكن افكاري تداولها
من اغلي الامنيات اللي من القلب وتمر البال      صنعت اغلي البيوت اللي تبيض وجه قايلها
اغذيها باحاسيس لها في خافقي مدهال      لها كفي مطيعه يوم تكتبها اناملها
لو ان افكار شعري خيل ، ما تلقي لها خيال      سوي فكري تحلق في الفضا يوم اتخيلها
علي الدوله وريسها (خليفه ) قايد الابطال      هماليل السحاب اللي غصون الارض بللها
ابارك له في شهر نزل القران فيه انزال      يضم من الليالي ليله القدر وفضايلها
ارددها علي الاطلال .. وتردد معي الاطلال      يالين اسمع صداها والمخاليق تناقلها
لو ان دله هل الامجاد ما معها سوي فنيال      تري الفنيال في راحه يمينه يا مهيلها
في كل بلاد له كلمه ، والي من قال قال وطال      يطول جبال الارض وكف ابو سلطان اطولها
مع شعب العروبه موقفه تفخر به الاجيال      والي من مالت احوال العرب وقف وعدلها
ولابو راشد من المجد التليد العز والاجلال      ومن الالقاب اشرف ما حوت الالقاب وانبلها
(صلاح الدين ) فخر للعروبه يا هل الامثال      وابو راشد (صلاح الدين) لاهل الارض باكملها
و (ابو خالد ) صنع دوله بهمته وتحته رجال      الي قالت ، تبرهن قولها صادق فعايلها
سلايله المكارم ، والفخر لا من ذكره اختال      وعريبين السلايل تفتخر فيها سلايلها
لو ان للطيب رجل يمثله بو خالد الرجال      يمثله ، وشيوخ الدار لو وقف يمثلها
وجبال الارض لو نقدر نسوي منها تمثال      لابو خالد ، نحتناها من اخرها الي اولها
علي الهامات له هامه وعلي حد السحب تختال      صعيبات المشاكل كل ما جاته يذللها
وعسي شعب الامارات العزيزه دوم ف احسن حال      عسي دعواتهم ربي في شهر الخير يقبلها",في ديوان العرب، يمجّد الشاعر الشعر كأداة خالدة تحفظ ماضي الأمة وعاداتها، رافضاً الطمع بالشهرة ليختار الشفاء لجروح البشر وآهاتها. يفخر بمن ذُكر جده وأباه بعظم وقفاتهم، متفوقاً على من يرتقي بقصيدة مزخرفة كالمرجان، بينما يصغُّر العمرُ العظماء الذين يصدَمون بهاماتهم الجبال. ينتقد الربيع الذي نسي ربيعه مغروراً بالدنيا، ويُبرز الصداقة الحقة التي تتحمل الخطايا، مقابل نيات الخائنين، مؤكداً أن البشر حسب ما أعطاهم الله، والدول تفضل التقدم على الازمات. يروي نصائحه لصديق باع الودَ شراهاً، متسائلاً عن سعر الطيب عند الأشرار، ويُفرِّق بين مقامات الناس: ناسٌ غيابُها يُشتِّتُ الانتباه حتى لو حيَّة، وأخرى لا تُؤثِّر وفاتُها. قصيدةٌ فلسفيةٌ نبطيةٌ تُعيدُ صياغة قيم العرب الأصيلة في مواجهة الزيف المعاصر.,"Cinematic medium-wide shot of Sheikh Khalifa bin Zayed (Bo Khalifa) standing in the foreground as the primary leader, with Sheikh Mohamed bin Rashid (Bo Rashid) and Sheikh Hamdan bin Mohammed (Fazaa) positioned slightly behind him in a dynamic unity composition on a muted cyan-tinted desert terrace at twilight, all three raising their hands in a gesture of collective leadership and tribute while holding traditional UAE flags, faces etched with solemn pride, visionary resolve, and deep emotional connection to the people, wearing pristine white kanduras and black bishts with intricate gold embroidery, distant silhouettes of falcons soaring above cracked earth and wilting desert roses symbolizing resilience, volumetric golden-hour rim lighting with cool blue-grey tones and warm amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare, contemplative and majestic atmosphere celebrating unity, heritage, and the enduring spirit of the UAE people, 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",URL,"راشد,خليفة,سلطان",https://d1q70pf5vjeyhc.cloudfront.net/predictions/204664a083d14b4dab5ef4c3afd19552/1.jpg,0ff349116fa643e2ba4547f66be049b5
